modelo,estres,AUC,Accuracy,Precision,Recall,F1
AutoML,sequía,1.0,1.0,1.0,1.0,1.0
AutoML,anegamiento,0.6454598298965918,0.7068452380952381,0.31100478468899523,0.5508474576271186,0.39755351681957185
XGBoost,sequía,0.9835222624751665,0.9419642857142857,0.8921568627450981,0.914572864321608,0.9032258064516129
XGBoost,anegamiento,0.9983632136082726,0.9806547619047619,0.9411764705882353,0.9491525423728814,0.9451476793248945
RandomForest,sequía,0.9797826341007363,0.9330357142857143,0.8774509803921569,0.8994974874371859,0.8883374689826302
RandomForest,anegamiento,0.9965046197148626,0.9791666666666666,0.9814814814814815,0.8983050847457628,0.9380530973451328
