ACCENUMB,y_true,y_pred,y_proba
G23611,0,0,0.0004058441298864548
G4397,0,0,0.0003100318292542183
G50552,1,1,0.991198203012255
G20204,1,1,0.9988057990671302
G6941,0,0,0.0028345747577894
G51456,1,1,0.9201288877996712
G22578,1,1,0.9614518207917316
G7314,0,0,0.0118417100250514
G51594,1,1,0.9991653931417984
G20,0,0,0.0345619511814798
G4272,0,0,0.0208078085663428
G2920,0,0,0.0054201368827424
G52062,0,0,0.0006286567676666188
G8934,1,1,0.9984443556451594
G2616,0,0,0.00031918223476123085
G20488,1,1,0.9967367070722858
G5179,0,0,0.0055807104173997
G9602,0,0,0.018412248373315
G52326,1,1,0.9328952366590448
G50565,0,0,0.0003741530270786672
G22608A,1,1,0.99902639115351
G22559,1,1,0.9929688269343768
G22389,1,1,0.9988298616767304
G24386,0,0,0.00035158579936188085
G22824,0,0,0.00021502758806023415
G3201,0,0,0.00024981875916806626
G18047,1,1,0.999410125899228
G10963,0,0,0.00027427472900291074
G12032,0,0,0.0003422614222933936
G20356,1,1,0.9987204944689376
G19004,0,0,0.0007788896434721122
G7387,0,0,0.0027795886236003
G23892,0,0,0.0009930677805189026
G3542,0,0,0.0005552370144681174
G3252,0,0,0.0015665812446371
G1737,0,0,0.0005078513077853074
G6140,0,0,0.0110789420400125
G50460,0,0,0.00017482663907632723
G18666,0,0,0.000505588730449785
G20250A,1,1,0.9770731259105168
G11124,0,0,0.0042034796082679
G5143,0,0,0.0357997035928954
G59,0,0,0.0049751422282253
G51467,1,1,0.9477247556942556
G51434,1,1,0.9973031992259668
G18699C,0,0,0.0008000050538086212
G12674,0,0,0.0007238070775186495
G51460,1,1,0.9972925892923686
G20251B,0,0,0.1675169009442723
G24308,1,1,0.9992678295906336
G3038,0,0,0.00030948446853544965
G16865,1,1,0.9289652602669588
G20813,1,1,0.9982362024385252
G17212,0,0,0.0009269414982443768
G50507,0,0,0.0233529397327927
G1724,0,0,0.00037855753973281954
G51375,0,0,0.0004486685293400721
G22494,1,1,0.9837031028482968
G23545,0,0,0.0002390472354012684
G19395,0,0,0.0059696956712291
G50889,1,1,0.9369940649625508
G14690,1,1,0.9047309564061312
G1944,0,0,0.0073944666012078
G20007,0,0,0.1587492672700678
G20728,1,1,0.9962451434176648
G6781,0,0,0.0002880771645025187
G51983,1,1,0.991616922811922
G9996,0,0,0.000532777355651905
G20887,1,1,0.996127887265812
G19909,0,0,0.0051808105062494
G20889B,1,1,0.9906904018628948
G9542,1,1,0.958392971365062
G3535,0,0,0.00022819298680841417
G19699,0,0,0.003234588812813
G2906,0,0,0.0006347455562257864
G51261,0,0,0.0012560519876138
G935,0,0,0.1425047173659586
G23470,1,1,0.9967785727897388
G52488,0,0,0.0101936354721036
