ACCENUMB,y_true,y_pred,y_proba,DOI,CURATION,GENUS,SPECIES,GRIN_NAME,ORIGCTY,COLLSITE,DECLATITUDE,DECLONGITUDE,SAMPSTAT,ELEVATION,COLLSRC,MODCF_CloudForestPrediction,MODCF_meanannual,MODCF_seasonality_concentration,current_30arcsec_annualPET,current_30arcsec_aridityIndexThornthwaite,current_30arcsec_climaticMoistureIndex,current_30arcsec_continentality,AWCh1_M_sl1,AWCh1_M_sl2,AWCtS_M_sl1,CECSOL_M_sl1,CECSOL_M_sl2,CLYPPT_M_sl1,CRFVOL_M_sl1,BDRICM_M,ORCDRC_M_sl1,ORCDRC_M_sl2,OCDENS_M_sl1,OCSTHA_M_sd1,PHIHOX_M_sl1,PHIKCL_M_sl1,BDRLOG_M,SNDPPT_M_sl1,SLTPPT_M_sl1,SLGWRB,WWP_M_sl1,ACDWRB_M_ss,bio1,bio10,bio12,bio13,bio14,bio15,bio18,bio19,bio2,bio3,bio8,bio9,prec_1,prec_10,prec_11,prec_4,prec_5,prec_6,prec_7,srad_1,srad_10,srad_3,srad_4,srad_5,srad_9,wind_1,wind_10
G21191,0,0,0.000895356324693632,10.18730/JVY2G,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,MEX,LA UNION - DOCTOR ARROYO - NUEVO LEON,23.79,-100.14,0.3591811050669926,0.483878715029457,-1.80637314900962,-0.4517266898865645,-0.7126345899217098,-0.363544507139479,0.8954140819648705,0.8550079888370662,-1.5525684023002044,0.1323959191025613,-0.1772172155267593,0.2276848888251061,-0.6834618765223034,-0.493741529484467,-0.3268283271420874,0.5281350810001041,0.7730919076560719,-1.1968049759079582,-0.9909346678069352,-0.559037274714478,-0.4695084410643349,-0.9492891978477372,1.208189609513631,1.1364143332653274,0.8684609853036377,-0.4369711226493272,-0.1207889326592303,-0.1099513511812154,-0.2813215727714414,-1.1698836982734446,-0.0243866146152152,-0.163209903033263,-1.1924617944918334,-1.295257061023115,-0.463378307124927,-0.2973289621290806,-0.731688306298709,-0.6748840476473966,1.7095216468142858,0.0798146498676284,0.2570767650271274,-0.4379866624237674,-0.7417678071940575,-0.886676788587826,-0.9905468715988072,-0.7336939871401047,-0.3593156569328333,-0.6518225204303046,-0.6123403244295282,-0.1811265933582813,0.1953882945176675,0.3593833689523018,0.5885599267700103,0.7464938103602673,0.308591366969579,0.9116891458765768,0.8389292770716291
G727,1,1,0.9879135759876132,10.18730/JZPAG,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,CMR,20 MI. W OF BAMENDA - BAMENDA - MEZAM,5.9,10.09,0.3591811050669926,-0.9014433087998384,0.3859604233784113,0.1053441453932854,1.0230446285054908,-0.2179090391575616,-0.5683573947589344,-1.2359561751727726,0.9073066854686336,-0.6301455400082757,0.3085889191485086,0.7321985335682625,1.4360809132798364,0.6630092640134944,0.6199001967045383,0.9393904857531464,-0.294667587114274,0.6071251130757639,0.2954836182533146,0.4261902397185189,0.7686914955434966,0.6351109863196359,-1.3709595025368717,-0.996378483122617,-0.648831002770808,-1.606177304997631,0.8419744919928466,-0.1099513511812154,1.3362573934753113,1.582328263787768,0.9460061006855304,0.6958387077799925,1.7203809245646309,1.7167293925046192,-0.3859057680528925,0.1262452159016849,0.1672349217056038,4.479490371631497,-0.8032777428932528,0.2833491961623438,0.4260641479388114,0.8746276434934664,-0.8294664602504677,1.491797196777608,-0.4010011873667801,1.4621283548315462,1.2023382878562012,1.2178725604073686,2.1279738340205814,0.6283216002768834,-0.7270583476161914,0.0651682368005925,-0.3860733116734752,-0.8488020333992023,-2.586191506153228,-0.6940846030272442,-0.580140269276917
G22451,0,0,0.0584425339533874,10.18730/JW2WP,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,MWI,BUNDA - BUNDA - LILONGWE DISTRICT,-14.19,33.81,0.3591811050669926,-0.7055575395655819,0.3859604233784113,-0.5347399023098791,0.0292235873043318,0.3282239657746287,0.1427021036831119,-0.1629575628192799,-0.4109974629969165,-0.3862292028575912,-1.1488294848772953,-1.2858560454043628,-1.3899761397896833,-1.6504923229824284,-1.8145445789010708,-1.1168865380120652,-1.4958970187309133,0.6071251130757639,-1.4197407631603518,-0.874310079333037,-0.9136453748475788,-1.4774225925701947,-0.3392998577166706,-0.1760735537426384,-1.1907209985116811,3.5902946165503846,-2.7340039424291533,-0.1099513511812154,-2.9772865165160294,0.2062222827571616,0.5298899301291674,0.4538532182777189,-0.3071043338055241,0.353710206256309,-0.8120047329490826,1.429397355279728,-0.095864559661512,-0.8604014148782517,0.3383888645950123,-0.0345476463102868,0.6116732185566661,-0.0388016575000551,2.4446165871888423,-1.0612436865962982,-0.0445317038776475,-0.2706294116222735,-1.0593674252865384,-1.119246290639723,-1.0644460273388057,0.3579960368238664,2.0473745941036,0.0044845682922731,-0.274582679848813,-0.56453089680833,1.6987267630968002,-0.4799814960606078,1.096941977785008
G2993,0,0,0.00032664267207659255,10.18730/K1HRZ,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,GTM,SAN CRISTÓBAL FRONTERA - ASUNCION MITA - JUTIAPA,14.19,-89.68,0.3591811050669926,-0.4070053047241906,0.3859604233784113,-0.5963992484286395,-0.5477772172048117,0.7378237194737715,1.0313450870098562,1.2191357648403984,0.116252872815146,-0.6524852375324631,-0.6630233502020273,-0.7813424006612064,-0.4479571220998433,-0.493741529484467,-0.191581395163998,0.8023053508354656,-0.294667587114274,0.130615278249875,0.4760335531389636,-0.5984463752917978,-0.4695084410643349,0.2126042705416698,-0.2103424021141454,-0.3401345396186341,0.1640039908405021,-0.5668829206880276,-0.2583265647523842,-0.1099513511812154,0.2578714159774761,0.2062222827571616,1.3114361421169882,0.9700888984458572,0.3581642665971829,0.563405465679126,-0.7732684634130653,0.8715639842497559,-0.687838392737523,-0.7400658253231024,-0.6191379091007203,0.7476084455349312,1.046607763283971,0.8957609141314955,-0.9756308820111512,0.4225749464757157,-0.8123121298542408,-0.4648177820007188,0.448436383475288,1.2941866453395183,1.103816017226096,1.1311970224354442,0.8745445112367524,1.5555131193129657,1.5598848378596484,0.7771725765864109,0.9776101457365572,0.2693796973612255,-0.9671593203469846
G20962,1,1,0.9987088934181004,10.18730/JTWXW,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,RWA,RUHINGA I - NYARUTOVU - RUHENGERI,-1.62,29.75,0.3591811050669926,0.7912075966324648,0.3859604233784113,1.1616293452666553,1.4895559172575643,-0.9460863790671488,-0.5360015502040222,-0.9068513324512424,0.9594671168681675,-0.9103143890953448,0.3085889191485086,0.7321985335682625,0.4940618955899966,-0.1467162914350786,0.0789124687921807,0.5281350810001041,-0.828547334499447,0.6071251130757639,-0.6524035398963431,0.386781139141199,0.7081273682094179,0.0013509126526867,-0.9840871357292964,-1.3245004548746084,-0.4320750044744585,-0.4369711226493272,0.0167486994339235,-0.1099513511812154,0.2578714159774761,1.582328263787768,-0.0521821654051853,-0.8649676533546035,0.2314464379490482,-0.1038067233934733,-0.1534881508367888,-0.7970110058125177,0.1946411176813451,0.0621714383778926,-0.3358460088220656,1.2900602108113624,-0.1501549404370754,0.0105094640777471,0.2959995873067951,0.2370976173417139,0.8740627343443481,1.686191859114368,0.6099867915569123,-0.785372169061567,-0.9260463223665778,0.0625594557641475,-0.3752447878327281,-0.7007114278328405,-1.471866349206238,-1.684446592348014,-0.5615972835931751,-0.265878261478529,-0.4511339189202276
G51885,0,0,0.1620769393172153,10.18730/PH6GX,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,MMR,NYAUNGSHWE - NYAUNGSHWE - SHAN,20.67,96.95,0.3591811050669926,-0.4496534346966786,0.3859604233784113,-0.6116864985800714,-0.3063371642541772,2.185076182544076,-0.4635577422730911,0.3382509556407451,0.8630662087601414,-0.6405752731189032,-0.6630233502020273,-0.7813424006612064,-0.6834618765223034,-0.7250916881840593,-0.4620752591201768,0.2539648111647425,0.5061520339634855,0.6071251130757639,1.175664550820854,0.1503265356772798,-0.8127051626241144,0.6351109863196359,-0.5972147689217209,-0.8323174972466213,-1.0823429993635068,-0.9566183148041288,0.7044368598996927,-0.1099513511812154,0.2578714159774761,0.2062222827571616,0.7326341347708054,0.7079379514850586,0.8683702608909883,1.001859189926834,-0.6957959243410308,0.5065734716322867,1.1264517808565475,-0.7551077740174961,-1.112065932838596,-0.7652476032685014,0.7778902012963009,0.238279755896766,-0.9463979976590144,0.7171565868650126,-0.0445317038776475,-0.3901299472397783,1.686989512101074,1.160636996708256,1.4636552501538882,0.8774665662703346,0.5301786175374148,1.670553249186557,1.8033777311028272,0.673878015072698,-0.0287550334264145,-1.5504973499323955,-1.2251718672728455
G884,1,1,0.9843428936146136,10.18730/JZV0J,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,TUR,PASA FABRICASI - SIVAS,39.75,37.03,0.3591811050669926,-0.8045834197668401,0.3859604233784113,-0.599851588729047,-0.7330956113582042,0.9562769214466476,-0.685195099721544,0.0956514698004453,0.0475340167619014,0.9902232921809948,0.3085889191485086,0.2276848888251061,-0.9189666309447634,-0.1467162914350786,-0.3268283271420874,-0.2943757285059805,-0.1611976502679807,0.6071251130757639,-0.6524035398963431,-0.1649462689412792,-0.671388865511264,-0.526782482069771,1.5950619763212064,2.448902220273293,-0.7572090019189827,-0.8267065167654283,1.117049756179154,-0.1099513511812154,-0.2813215727714414,-1.1698836982734446,-1.658603035675254,-0.5544197315735372,-1.0974234230057325,-1.2666622529200036,-0.5021145766609444,-0.7990734633141288,-1.3017371825941269,-0.2486955013062429,0.108922277857444,-1.495782174712562,-1.5934728567978285,0.2194945741888292,-0.4055896371444856,-0.8321246329601785,-0.5655255643617644,-0.1361913090525806,-0.3458531229260313,-0.7376758659789734,-0.9906328513536174,-1.5921474261800874,-0.8458663541962923,-1.1953839862892823,-0.1346404327810621,0.8027851245366777,1.2190139918914882,-0.8011362203182835,-0.4511339189202276
G20179,1,1,0.9993745796958832,10.18730/JN6P6,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,MKD,PEHCEVO - PEHCHEVO,41.77,22.88,0.3591811050669926,-0.3784789713030935,0.3859604233784113,-0.5025681838259716,0.0754070356895621,-0.6821220933499235,-1.9411994332132048,-0.8741681021513715,0.1280184430522666,2.2186012787254903,0.7943950538237766,0.7321985335682625,-0.2124523676773833,-0.0310412120852824,-0.3268283271420874,-1.1168865380120652,-0.1611976502679807,0.6071251130757639,-0.5621285724535185,-0.4802190735598382,0.1159447898317593,-0.4211558031252794,0.6923597871035305,0.4801703897613444,-0.9197760006412448,-0.3070593246106268,1.3921250203654618,-0.1099513511812154,-0.2813215727714414,-1.1698836982734446,-1.7558875566320893,-0.9294972095320144,-0.9323567777930308,-1.295257061023115,0.4662921617394877,-1.7574246052459743,-0.819388133421081,-0.2787793986950302,-0.3358460843847425,-1.4608853000340274,-0.9950915049373048,-2.2789340051328684,-0.507904732376964,-0.7448411839559423,-0.4284219168659441,-0.345317246383214,-0.3593156569328333,-0.5755084354981548,-0.6400202654239737,-1.8008964073279747,-1.832150134194086,-1.445883869089027,-0.5925129385535618,0.1492429669485533,-0.886563999570967,-0.0517750268964503,0.0648911749314939
G7958,1,1,0.9976252055837772,10.18730/K2ER$,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,BRA,RECIFE - PERNAMBUCO,-8.07,-35.01,0.3591811050669926,-0.8988431962857731,0.3859604233784113,-0.6065006085563138,0.3682919425376684,-1.4102994332595105,-0.3517701301893505,-0.0598250555356206,0.906747117400709,-0.6524852375324631,-0.1772172155267593,-0.7813424006612064,-0.9189666309447634,-1.419142164282836,-1.6792976469229814,-0.4314608634236613,-0.828547334499447,0.6071251130757639,-0.4267161212892817,-0.4802190735598382,-0.5031551784721564,-0.4211558031252794,-1.3709595025368717,-1.3245004548746084,-0.648831002770808,1.90144124204728,-1.4961652535907688,-0.1099513511812154,-1.3597075502692766,1.582328263787768,1.3555820402904095,1.0830153525184223,0.3148134304807157,0.1726097549366035,0.0014569273072803,-0.2305599717838926,-0.1013457988566603,1.7318277434555889,-1.2877069223584283,0.285336497305683,0.8997826834861508,1.1117904701822636,-0.1424936779752553,-0.8975872197133555,-0.8260224946038229,1.5218786226402987,1.1888757538493993,0.7409095295814314,0.9100564302649772,1.6275217443487784,2.1048280181811414,0.5353947676588963,-0.2861618255872795,-0.7460703850272534,1.6342492400853337,0.2693796973612255,0.8389292770716291
G18188,0,0,0.0230658705768474,10.18730/JT9R7,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,ESP,AGENCIA SEA DE ALMAGRO - ALMAGRO - CIUDAD REAL,38.88,-3.71,0.3591811050669926,-0.6329451738274527,0.3859604233784113,-0.5997654107696374,-1.0692409635291844,0.4647572170076762,-0.673073532486021,0.3260672205152702,-0.2326892675051003,1.238830376365858,0.3085889191485086,-0.2768287559180501,-1.3899761397896833,-0.9564418468836516,-0.7325691230763556,-0.8427162681767036,-0.0277277134216875,0.6071251130757639,-1.1940533445532904,-0.9531282804876768,-1.068420366923558,-1.4774225925701947,1.5950619763212064,1.300475319141323,-1.299098997659856,0.4724114636215755,0.2918239636202311,-0.1099513511812154,-1.3597075502692766,-1.1698836982734446,-0.484648622922516,0.857162328985618,-1.1807904155374,-1.3524466772293378,-0.5408508461969617,-0.8890676641923514,-1.3949182489116472,-0.2085836381211931,0.125919790793489,-1.3815803038911831,-1.2776604502297322,1.0507386800172385,-0.3763567527923488,-0.7121098905793538,-0.4969737406138543,-0.4648177820007188,-0.6285663370688738,-0.8712255146102357,-1.0090861453499145,-1.3696419745172246,-1.1838485341092364,-0.7401126723145454,0.3285253967575936,1.1016920028134167,0.5113086993176302,0.0552764627791469,0.3229038756448727
