"model_id","auc","logloss","aucpr","mean_per_class_error","rmse","mse"
"StackedEnsemble_AllModels_1_AutoML_1_20251105_191602",0.9898204664802563,0.1156219183056179,0.9787994202917925,0.052699609561481287,0.1833681490179512,0.03362387807426955
"StackedEnsemble_BestOfFamily_1_AutoML_1_20251105_191602",0.989778268430744,0.11588486525609436,0.9785267927162988,0.05461770272113483,0.1837500615506928,0.03376408511988339
"GBM_1_AutoML_1_20251105_191602",0.989441962763418,0.12153077249778348,0.977762573704838,0.05929955500238696,0.18601864579938865,0.0346029365850384
"GBM_2_AutoML_1_20251105_191602",0.9893368938825616,0.12981561551657872,0.977614293697053,0.05104195082861625,0.1914595552907472,0.036656761312130685
"GBM_4_AutoML_1_20251105_191602",0.9889935552069836,0.131183988604742,0.9777839860188108,0.05567478517356612,0.191721066819791,0.03675696746251877
"GBM_3_AutoML_1_20251105_191602",0.988936225533656,0.13143450896184314,0.9772483589393414,0.05346407624633431,0.190753971989943,0.03638707782993997
"GBM_5_AutoML_1_20251105_191602",0.9885221305326332,0.1349036934107195,0.9753330343297342,0.060486854668212506,0.1947607911304056,0.037931765761741475
"GBM_grid_1_AutoML_1_20251105_191602_model_1",0.9880251312828208,0.13464246543707756,0.9737658978676342,0.05439243333560663,0.1968130991772915,0.03873539600777039
"XRT_1_AutoML_1_20251105_191602",0.9869708194093978,0.15369415694620003,0.970423207106595,0.053188297074268566,0.21249172240624223,0.04515273209117152
"DRF_1_AutoML_1_20251105_191602",0.9865477733069632,0.17470992836398486,0.9730149493935736,0.056293689899747666,0.20946934005080065,0.043877404421317955
"DeepLearning_1_AutoML_1_20251105_191602",0.970986496624156,0.2080946491126578,0.933180937760502,0.08814724988065198,0.24445431197854328,0.05975791064490297
"GLM_1_AutoML_1_20251105_191602",0.9670652748414376,0.21111896719187984,0.9316517332380736,0.08475073313782991,0.24633982856583295,0.060683311137843976
