ACCENUMB,y_true,y_pred,y_proba
G18651,0,0,0.00034475742218058103
G20008,0,0,1.3559514944397656e-05
G2209,1,1,0.9968423564576908
G18192,0,0,0.0002775625009816355
G12184,0,0,6.382540282169427e-05
G51465,1,1,0.9989326390863912
G4713,1,1,0.9978977812185138
G802,1,1,0.9801903904525596
G8932,0,0,3.478656945072901e-05
G17070,0,0,0.00021324282368233627
G52580,0,0,0.00015988517165029903
G9783,0,0,2.0345801334238896e-05
G23733,0,0,7.526937901747944e-05
G52488,1,1,0.965227283360589
G2359,0,0,0.0003519436283832608
G6775,0,0,4.60677681648899e-05
G50914,0,0,5.450274452826066e-05
G23547A,0,0,1.7021543556525726e-05
G24339,0,0,6.223998761080887e-05
G50979,0,0,0.002681736210686
G15841,1,1,0.9990708967737252
G24371,0,0,2.194080234427224e-05
G20884,0,0,6.856220945890279e-05
G571,0,0,3.50101316579019e-05
G23160,0,0,8.366657349700193e-05
G10121,0,0,0.00017969613861546803
G8914,0,0,2.5726272185265934e-05
G2830,0,0,2.850788201704245e-05
G7820,0,0,0.0107034826433879
G50885,1,1,0.9991139394202428
G3344,0,0,1.7433090838312543e-05
G18550,0,0,0.00031735631469308054
G51626,0,0,0.0296840439659168
G23651,0,0,1.824376385990513e-05
G50646T,1,1,0.998513259195704
G18308,0,0,2.608759479139828e-05
G24591,0,0,0.00023466786023914203
G52603,1,1,0.9988045900330392
G623,0,0,1.888570444960788e-05
G7128,0,0,0.0758352022395663
G311,0,0,0.000250360535251719
G7229,1,1,0.9992797611255072
G2167,0,0,0.0004178605850665792
G51842,0,0,0.00011346167780900104
G5548,0,0,0.0028962629273311
G932,0,0,3.318302795032095e-05
G10991,0,0,2.513951943868329e-05
G950,0,0,1.0456469989028892e-05
G14248,0,0,4.843881973312909e-05
G4679,0,0,0.0069022353670656
G23419A,0,0,0.0010901683081112
G50952,0,0,3.739951249087163e-05
G6901,0,0,0.0132830069408571
G13016,0,0,8.636696034269342e-05
G19118,0,0,8.182532228183349e-05
G13932,0,0,0.000195258856708916
G20917,0,0,0.0002604110063413589
G22655,0,0,0.0001132933927946749
G11728,1,1,0.9561593584996024
G15292,0,0,0.0044834669149363
G14875,0,0,2.356121650951105e-05
G10123,0,0,0.00031278890774224984
G20772,0,0,0.0090959623364808
G18665,0,0,0.000315289534185672
G24998,0,0,6.204509172720697e-05
G13125,1,1,0.998087810152286
G16145,0,0,7.190939221963774e-05
G16990,0,0,2.8287794064279163e-05
G24645,1,1,0.9942723105436124
G52595,0,0,0.0135329914163787
G16449,0,0,2.1255047503160164e-05
G12064,0,0,0.00011755129521760172
G20652,0,0,0.0002930969179980648
G6214,0,0,0.0003704759849874453
G15291,0,0,0.0030806173370674
G219,0,0,5.031052197956557e-05
G12408,0,0,0.000109945756568593
G22494,0,0,0.0001541592840432439
G12876,0,0,0.0343621632637591
G1169,0,0,0.0005270603236566352
G6117,0,0,0.059138371970766
G422,0,0,3.966462581881406e-05
G13671,0,0,2.048030591215065e-05
G52065,1,0,0.6693589546103976
G24440,0,0,0.0087944334720499
G20827,0,0,0.001058563783844
G50931,0,0,0.0002946835405127828
G13686,0,0,4.5169277042752645e-05
G22373,0,0,0.0025596995290349
G733,1,1,0.979424828986115
G20360,0,0,1.9036542833101767e-05
G22624,1,1,0.8910442036812285
G19936,0,0,4.331126779395455e-05
G51193,0,0,4.827871387585499e-05
G432,0,0,3.3844161763577024e-05
G807,0,0,3.443710987255749e-05
G50431A,0,0,0.00020091425066748572
G1036,0,0,3.2100469056620945e-05
G3245,0,0,0.0021443599684063
G12202A,0,0,0.00014995379391461206
G11402,0,0,1.243502054340267e-05
G52005,0,0,0.0005905705330707415
G12649,1,1,0.99863518634063
G52028,0,0,0.0002657939596769929
G17229,0,0,0.004278145998229
G5036,0,0,0.0005211985695915789
G450,0,0,3.754149842246655e-05
G602,0,0,2.2610634141467143e-05
G23438,0,0,0.001217602850861
G23420,0,0,0.1496542516882371
G52025,0,0,3.393876390079194e-05
G50683,0,0,2.5181509968497683e-05
G6772,0,0,3.29062370702357e-05
G19163,0,0,4.075408948134906e-05
G15927,0,0,6.101256203766753e-05
G2980,0,0,0.00019125139914937805
G19901,0,0,4.099314033996e-05
G18630,0,0,0.00031183958004186177
G52202,1,1,0.9959300760201892
G19889,0,0,0.0001059912016023293
G51244,0,0,0.0014464828429204
G20959,0,0,0.0193900803991936
G1031,0,0,0.00010498749602785658
G51361B,0,0,2.892801334720902e-05
G23916,1,1,0.9776629141205092
G18678,0,0,0.0002391414011871036
G8209,0,0,2.60621555675778e-05
G50775,0,0,6.0916058751506194e-05
G20706,0,0,0.0005353533426785475
G50008,0,0,0.0060903901620384
G24399,1,1,0.9981029356499336
G156,0,0,3.0700687685149786e-05
G23998,1,1,0.9985361611919232
G23445C,0,0,3.425372678170156e-05
G22257,1,1,0.8689688976592926
G23467,0,0,5.323456290100504e-05
G23969,1,1,0.980505438580388
G13040,0,0,5.268287246390586e-05
G22047,0,0,2.131611946033177e-05
G20146B,0,0,1.5795155320515557e-05
G832,0,0,0.0002259835866503168
G9654,0,0,1.9056414409455728e-05
G10201,0,0,0.0145865561229769
G18994,0,0,0.00010471327223186934
G20935,0,0,0.0012932092979702
G114,0,0,1.7648717744262795e-05
G5190,1,0,0.3697137712570911
G22277,1,1,0.98019972009279
