DOI,ACCENUMB,CURATION,GENUS,SPECIES,GRIN_NAME,SAMPSTAT,ORIGCTY,COLLSITE,DECLONGITUDE,ELEVATION,MODCF_CloudForestPrediction,MODCF_seasonality_concentration,current_30arcsec_aridityIndexThornthwaite,CRFVOL_M_sl1,BDRICM_M,PHIKCL_M_sl1,BDRLOG_M,SLGWRB,ACDWRB_M_ss,bio14,bio18,bio19,bio2,bio9
10.18730/JKECH,G16570,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,0.2987140407349882,IRN,KARAJ - MARKAZI,50.93,-0.9865057493181688,-0.7054892858321137,2.0662707293221656,-0.2059212203258488,-0.9751635096759408,0.6417822756300026,1.7364319049852073,-1.250796630506385,-0.1033495786669646,-1.2525984963973449,-0.7327889030590841,-1.648138923707175,-0.3494510591893798,-0.085167556997902,1.3888963838783075
10.18730/JKEDJ,G16571,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,0.2987140407349882,IRN,KARAJ - MARKAZI,50.93,-0.9865057493181688,-0.7054892858321137,2.0662707293221656,-0.2059212203258488,-0.9751635096759408,0.6417822756300026,1.7364319049852073,-1.250796630506385,-0.1033495786669646,-1.2525984963973449,-0.7327889030590841,-1.648138923707175,-0.3494510591893798,-0.085167556997902,1.3888963838783075
10.18730/JKEEK,G16572,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,0.2987140407349882,IRN,KARAJ - MARKAZI,50.93,-0.9865057493181688,-0.7054892858321137,2.0662707293221656,-0.2059212203258488,-0.9751635096759408,0.6417822756300026,1.7364319049852073,-1.250796630506385,-0.1033495786669646,-1.2525984963973449,-0.7327889030590841,-1.648138923707175,-0.3494510591893798,-0.085167556997902,1.3888963838783075
10.18730/JKEFM,G16573,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,0.2987140407349882,IRN,KARAJ - MARKAZI,50.93,-0.9865057493181688,-0.7054892858321137,2.0662707293221656,-0.2059212203258488,-0.9751635096759408,0.6417822756300026,1.7364319049852073,-1.250796630506385,-0.1033495786669646,-1.2525984963973449,-0.7327889030590841,-1.648138923707175,-0.3494510591893798,-0.085167556997902,1.3888963838783075
10.18730/JKEHP,G16574,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,0.2987140407349882,IRN,KARAJ - MARKAZI,50.93,-0.9865057493181688,-0.7054892858321137,2.0662707293221656,-0.2059212203258488,-0.9751635096759408,0.6417822756300026,1.7364319049852073,-1.250796630506385,-0.1033495786669646,-1.2525984963973449,-0.7327889030590841,-1.648138923707175,-0.3494510591893798,-0.085167556997902,1.3888963838783075
10.18730/JKEJQ,G16575,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,0.2987140407349882,IRN,KARAJ - MARKAZI,50.93,-0.9865057493181688,-0.7054892858321137,2.0662707293221656,-0.2059212203258488,-0.9751635096759408,0.6417822756300026,1.7364319049852073,-1.250796630506385,-0.1033495786669646,-1.2525984963973449,-0.7327889030590841,-1.648138923707175,-0.3494510591893798,-0.085167556997902,1.3888963838783075
10.18730/JKEKR,G16576,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,0.2987140407349882,IRN,KERMANSHAH CHAMCHAL - KERMANSHAH - KERMANSHAHAN,47.07,-0.8956848257668777,-0.7018438440444631,1.918109659846888,-0.3131524050488018,0.5264477622179583,0.6417822756300026,2.5989735790362656,-1.076475543118922,8.914639371301897,-1.2525984963973449,-0.8063861921558175,-1.7051574024779548,0.0576556580273303,1.3629932957033537,1.4439190047007846
10.18730/JKEMS,G16577,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,0.2987140407349882,IRN,KERMANSHAH CHAMCHAL - KERMANSHAH - KERMANSHAHAN,47.07,-0.8956848257668777,-0.7018438440444631,1.918109659846888,-0.3131524050488018,0.5264477622179583,0.6417822756300026,2.5989735790362656,-1.076475543118922,8.914639371301897,-1.2525984963973449,-0.8063861921558175,-1.7051574024779548,0.0576556580273303,1.3629932957033537,1.4439190047007846
10.18730/JRGZ3,G9996,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,-3.8039022652548673,MEX,ARROYO DE MIRANDILLA - TALPA DE ALLENDE - JALISCO,-104.7,-0.5857989860738912,-0.639846178507855,1.1947350265264125,1.2905576302429227,1.3455084559782668,-1.138826607998471,0.1838568916933023,1.3640196803055582,-0.1033495786669646,0.1587457987745961,-0.6591916139623505,1.185679471200578,-0.5630813167387426,1.0504807313819515,-0.1639648539373885
10.18730/PGDH7,G9997,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,-3.8039022652548673,MEX,ARROYO DE MIRANDILLA - TALPA DE ALLENDE - JALISCO,-104.7,-0.5857989860738912,-0.639846178507855,1.1947350265264125,1.2905576302429227,1.3455084559782668,-1.138826607998471,0.1838568916933023,1.3640196803055582,-0.1033495786669646,0.1587457987745961,-0.6591916139623505,1.185679471200578,-0.5630813167387426,1.0504807313819515,-0.1639648539373885
10.18730/S4243,G9997A,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,-3.8039022652548673,MEX,ARROYO DE MIRANDILLA - TALPA DE ALLENDE - JALISCO,-104.7,-0.5857989860738912,-0.639846178507855,1.1947350265264125,1.2905576302429227,1.3455084559782668,-1.138826607998471,0.1838568916933023,1.3640196803055582,-0.1033495786669646,0.1587457987745961,-0.6591916139623505,1.185679471200578,-0.5630813167387426,1.0504807313819515,-0.1639648539373885
10.18730/PGDJ8,G9998,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,-3.8039022652548673,MEX,LAGO CHAPALA - CHAPALA - JALISCO,-103.2,-0.3616291301451786,-0.7109377987607027,-0.1561453128070054,1.698955604677617,1.3455084559782668,-0.7547737115295846,0.0113485568830907,1.1896985929180954,-0.1033495786669646,0.1587457987745961,-0.7327889030590841,0.746637184665574,-0.6920656231836408,-0.2442140446605567,0.3220684910081143
10.18730/S6AKW,G9998A,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,-3.8039022652548673,MEX,LAGO CHAPALA - CHAPALA - JALISCO,-103.2,-0.3616291301451786,-0.7109377987607027,-0.1561453128070054,1.698955604677617,1.3455084559782668,-0.7547737115295846,0.0113485568830907,1.1896985929180954,-0.1033495786669646,0.1587457987745961,-0.7327889030590841,0.746637184665574,-0.6920656231836408,-0.2442140446605567,0.3220684910081143
10.18730/JRGW0,G9991,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,-3.8039022652548673,MEX,"ABOVE AYUTLA, ALONG RIVER BARRANCA, 8 KM AWAY - AYUTLA - JALISCO",-104.37,-0.3681483086735912,-0.6620918537064702,0.6108061056532575,1.3355055633911033,1.8915489184851395,-1.9418463006152336,0.0113485568830907,1.8288759133387928,-0.1033495786669646,0.1587457987745961,-0.6591916139623505,0.5926872919844688,-0.5953273933499672,0.9723525657702476,0.1845118514957886
10.18730/JRGX1,G9992,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,-3.8039022652548673,MEX,"ABOVE AYUTLA, ALONG RIVER BARRANCA, 8 KM AWAY - AYUTLA - JALISCO",-104.37,-0.3681483086735912,-0.6620918537064702,0.6108061056532575,1.3355055633911033,1.8915489184851395,-1.9418463006152336,0.0113485568830907,1.8288759133387928,-0.1033495786669646,0.1587457987745961,-0.6591916139623505,0.5926872919844688,-0.5953273933499672,0.9723525657702476,0.1845118514957886
10.18730/JRH37,G9993,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,-3.8039022652548673,MEX,CERRO DE LAS GALLINAS - CHURINTZIO - MICHOACAN,-102.08,-0.2538316595730082,-0.6440961761232781,0.5672293205134699,1.0721012428505017,0.116917415337804,0.4322988775560644,0.356365226503514,0.0856650394641638,-0.1033495786669646,-1.2525984963973449,-0.6959902585107173,-0.6845266324809974,-0.700127142336447,1.1927855569420538,0.2150799579793611
10.18730/JRGY2,G9995,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,-3.8039022652548673,MEX,ARROYO DE MIRANDILLA - TALPA DE ALLENDE - JALISCO,-104.7,-0.5857989860738912,-0.639846178507855,1.1947350265264125,1.2905576302429227,1.3455084559782668,-1.138826607998471,0.1838568916933023,1.3640196803055582,-0.1033495786669646,0.1587457987745961,-0.6591916139623505,1.185679471200578,-0.5630813167387426,1.0504807313819515,-0.1639648539373885
10.18730/JNG3B,G9990,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,-3.8039022652548673,MEX,"ABOVE AYUTLA, ALONG RIVER BARRANCA, 8 KM AWAY - AYUTLA - JALISCO",-104.37,-0.3681483086735912,-0.6620918537064702,0.6108061056532575,1.3355055633911033,1.8915489184851395,-1.9418463006152336,0.0113485568830907,1.8288759133387928,-0.1033495786669646,0.1587457987745961,-0.6591916139623505,0.5926872919844688,-0.5953273933499672,0.9723525657702476,0.1845118514957886
10.18730/S2N68,G9989C,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,-3.8039022652548673,MEX,"25 KM MASCOTA, TOWARD PTO. VALLARTA - MASCOTA - JALISCO",-104.82,-0.0907448047011464,-0.6342289308528489,0.9594203867715588,1.191479106627766,1.7550388028584212,-2.3258991970841203,-1.023701451978179,2.3518391755011816,-0.1033495786669646,0.1587457987745961,-0.6591916139623505,1.60191436622727,-0.5550197975859364,0.1296848834660043,-0.2526124939239523
10.18730/S4TZN,G9989D,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,-3.8039022652548673,MEX,"25 KM MASCOTA, TOWARD PTO. VALLARTA - MASCOTA - JALISCO",-104.82,-0.0907448047011464,-0.6342289308528489,0.9594203867715588,1.191479106627766,1.7550388028584212,-2.3258991970841203,-1.023701451978179,2.3518391755011816,-0.1033495786669646,0.1587457987745961,-0.6591916139623505,1.60191436622727,-0.5550197975859364,0.1296848834660043,-0.2526124939239523
10.18730/S15J1,G9989E,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,-3.8039022652548673,MEX,"25 KM MASCOTA, TOWARD PTO. VALLARTA - MASCOTA - JALISCO",-104.82,-0.0907448047011464,-0.6342289308528489,0.9594203867715588,1.191479106627766,1.7550388028584212,-2.3258991970841203,-1.023701451978179,2.3518391755011816,-0.1033495786669646,0.1587457987745961,-0.6591916139623505,1.60191436622727,-0.5550197975859364,0.1296848834660043,-0.2526124939239523
10.18730/S442W,G9989B,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,-3.8039022652548673,MEX,"25 KM MASCOTA, TOWARD PTO. VALLARTA - MASCOTA - JALISCO",-104.82,-0.0907448047011464,-0.6342289308528489,0.9594203867715588,1.191479106627766,1.7550388028584212,-2.3258991970841203,-1.023701451978179,2.3518391755011816,-0.1033495786669646,0.1587457987745961,-0.6591916139623505,1.60191436622727,-0.5550197975859364,0.1296848834660043,-0.2526124939239523
10.18730/S443X,G9989A,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,-3.8039022652548673,MEX,"25 KM MASCOTA, TOWARD PTO. VALLARTA - MASCOTA - JALISCO",-104.82,-0.0907448047011464,-0.6342289308528489,0.9594203867715588,1.191479106627766,1.7550388028584212,-2.3258991970841203,-1.023701451978179,2.3518391755011816,-0.1033495786669646,0.1587457987745961,-0.6591916139623505,1.60191436622727,-0.5550197975859364,0.1296848834660043,-0.2526124939239523
10.18730/PGDG6,G9989,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,-3.8039022652548673,MEX,"25 KM MASCOTA, TOWARD PTO. VALLARTA - MASCOTA - JALISCO",-104.82,-0.0907448047011464,-0.6342289308528489,0.9594203867715588,1.191479106627766,1.7550388028584212,-2.3258991970841203,-1.023701451978179,2.3518391755011816,-0.1033495786669646,0.1587457987745961,-0.6591916139623505,1.60191436622727,-0.5550197975859364,0.1296848834660043,-0.2526124939239523
10.18730/PMPZ2,G9988,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,-1.7525941122599396,MEX,RANCHO CARACOL - ARANDAS - JALISCO,-102.45,-0.2444832223745654,-0.5418688638743069,1.0640046711070492,1.034403047707574,0.5264477622179583,0.1180737804451573,0.0113485568830907,0.4343072142390896,-0.1033495786669646,0.1587457987745961,-0.7327889030590841,0.6383020750010926,-0.7081886614892532,1.895938688208572,0.0530688041281331
10.18730/K3BAQ,G9978,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,0.2987140407349882,MEX,VILLA UNION - CONCORDIA - SINALOA,-106.24,-0.7565571785054337,-0.7245981264729685,0.5585139634855123,1.4621331651736216,-1.5212039721828132,0.6417822756300026,0.873890230934149,-1.1926896013772306,-0.1033495786669646,-1.2525984963973449,-0.8063861921558175,0.8720778379612895,-0.5912966337735641,0.2691993679780175,1.2452261230692696
10.18730/K3B8N,G9976,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,0.2987140407349882,MEX,NUEVO NECAXA - NUEVO NECAXA - PUEBLA,-98.0,-0.9516373780861488,0.939096081553331,-0.4437520947296041,-0.4445285715159459,0.6629578778446764,-0.7896876112085743,-0.8511931171679675,1.2478056220472498,-0.1033495786669646,0.1587457987745961,0.92315010161742,0.7865501198051199,-0.1438823207928231,-0.5148722699482965,-0.3412600756064262
