DOI,ACCENUMB,CURATION,GENUS,SPECIES,GRIN_NAME,SAMPSTAT,ACQDATE,ORIGCTY,COLLSITE,DECLATITUDE,DECLONGITUDE,ELEVATION,COLLDATE
10.18730/PJWGJ,G18895,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19781001,PER,UNIVERDIDAD NACIONAL AGRARIA LA MOLINA - LIMA - LIMA,-12.08,-76.94,,19781001.0
10.18730/K0JEW,G1889,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19700901,HND,COMALI NEAR SAN MARCOS - SAN MARCOS - CHOLUTECA,14.41,-88.94,914.0,19700901.0
10.18730/K0JDV,G1888,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19700901,HND,DISTRITO CENTRAL - COMAYAGUELA - OLANCHO,15.1,-86.5,,19700901.0
10.18730/K0JCT,G1887,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19700901,HND,DISTRITO CENTRAL - COMAYAGUELA - OLANCHO,15.1,-86.5,,19700901.0
10.18730/S5F51,G18857A,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19781001,PAK,"45 KM N OF MURREE, KOHALA - KOHALA",34.09,73.5,,19781001.0
10.18730/PETA~,G18856,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19781001,PER,E.E. LA MOLINA - LIMA - LIMA,-12.08,-76.94,,19781001.0
10.18730/S5F40,G18856A,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19781001,PER,E.E. LA MOLINA - LIMA - LIMA,-12.08,-76.94,,19781001.0
10.18730/PETB$,G18857,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19781001,PAK,"45 KM N OF MURREE, KOHALA - KOHALA",34.09,73.5,,19781001.0
10.18730/K0J3H,G1886,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19700901,HND,DISTRITO CENTRAL - COMAYAGUELA - OLANCHO,15.1,-86.5,,19700901.0
10.18730/S66MC,G18857B,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19781001,PAK,"45 KM N OF MURREE, KOHALA - KOHALA",34.09,73.5,,19781001.0
10.18730/JMBAJ,G18855,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19781001,MEX,JALPA - JALPA - ZACATECAS,21.63,-102.97,900.0,19781001.0
10.18730/JMBKV,G18851,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19781001,MEX,"46 MI W OF PARRAL, ROADSIDE - PARRAL - CHIHUAHUA",27.0,-105.47,,19781001.0
10.18730/K0HS7,G1885,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19700901,HND,DISTRITO CENTRAL - COMAYAGUELA - OLANCHO,15.1,-86.5,,19700901.0
10.18730/JMBBK,G18842,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19781001,ECU,GUAYAQUIL - GUAYAQUIL - GUAYAS,-2.17,-79.97,330.0,19781001.0
10.18730/K0HR6,G1884,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19700901,HND,DISTRITO CENTRAL - COMAYAGUELA - OLANCHO,15.1,-86.5,,19700901.0
10.18730/S6S9H,G1883A,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19700901,HND,DISTRITO CENTRAL - COMAYAGUELA - OLANCHO,15.1,-86.5,,19700901.0
10.18730/PE74B,G1883,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19700901,HND,DISTRITO CENTRAL - COMAYAGUELA - OLANCHO,15.1,-86.5,,19700901.0
10.18730/K0J8P,G1882,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19700901,HND,DISTRITO CENTRAL - COMAYAGUELA - OLANCHO,15.1,-86.5,,19700901.0
10.18730/JMAP=,G18808,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19781001,MEX,TEOPISCA - TEOPISCA - CHIAPAS,16.5,-92.5,2160.0,19781001.0
10.18730/JMAQU,G18809,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19781001,MEX,TEOPISCA - TEOPISCA - CHIAPAS,16.5,-92.5,1660.0,19781001.0
10.18730/K0J7N,G1881,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19700901,HND,DISTRITO CENTRAL - COMAYAGUELA - OLANCHO,15.1,-86.5,,19700901.0
10.18730/S5F0~,G18807A,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19781001,MEX,COMITÁN DE DOMÍNGUEZ - COMITAN DE DOMINGUEZ - CHIAPAS,16.27,-92.13,1660.0,19781001.0
10.18730/PESWK,G18807,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19781001,MEX,COMITÁN DE DOMÍNGUEZ - COMITAN DE DOMINGUEZ - CHIAPAS,16.27,-92.13,1660.0,19781001.0
10.18730/JMACS,G18805,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19781001,MEX,SAN CRISTOBAL DE LAS CASAS - SAN CRISTOBAL DE LAS CASAS - CHIAPAS,16.75,-92.63,930.0,19781001.0
10.18730/JMAGX,G18806,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19781001,MEX,SAN CRISTOBAL DE LAS CASAS - SAN CRISTOBAL DE LAS CASAS - CHIAPAS,16.75,-92.63,930.0,19781001.0
10.18730/S1TG5,G18804A,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19781001,MEX,SAN CRISTOBAL DE LAS CASAS - SAN CRISTOBAL DE LAS CASAS - CHIAPAS,16.75,-92.63,930.0,19781001.0
10.18730/S40FR,G18804B,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19781001,MEX,SAN CRISTOBAL DE LAS CASAS - SAN CRISTOBAL DE LAS CASAS - CHIAPAS,16.75,-92.63,930.0,19781001.0
10.18730/PESVJ,G18804,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19781001,MEX,SAN CRISTOBAL DE LAS CASAS - SAN CRISTOBAL DE LAS CASAS - CHIAPAS,16.75,-92.63,930.0,19781001.0
10.18730/JMAHY,G18801,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19781001,CRI,CARTAGO - CARTAGO - CARTAGO,9.87,-83.92,,19781001.0
10.18730/JMAJZ,G18802,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19781001,PER,TINGO MARIA - LEONCIO PRADO - HUANUCO,-9.28,-76.01,,19781001.0
10.18730/JMAK*,G18800,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19781001,CRI,SAN IGNACIO DE ACOSTA - SAN IGNACIO DE ACOSTA - SAN JOSE,9.81,-84.16,,19781001.0
10.18730/S1TF4,G18799A,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19781001,CRI,SAN IGNACIO DE ACOSTA - SAN IGNACIO DE ACOSTA - SAN JOSE,9.81,-84.16,,19781001.0
10.18730/K0J6M,G1880,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19700901,HND,DISTRITO CENTRAL - COMAYAGUELA - OLANCHO,15.1,-86.5,,19700901.0
10.18730/JMAFW,G18798,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19781001,CRI,SAN IGNACIO DE ACOSTA - SAN IGNACIO DE ACOSTA - SAN JOSE,9.81,-84.16,,19781001.0
10.18730/PESSG,G18799,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19781001,CRI,SAN IGNACIO DE ACOSTA - SAN IGNACIO DE ACOSTA - SAN JOSE,9.81,-84.16,,19781001.0
10.18730/PESRF,G18797,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19781001,MEX,TAPACHULA - TAPACHULA - CHIAPAS,14.91,-92.3,660.0,19781001.0
10.18730/S38M1,G18797A,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19781001,MEX,TAPACHULA - TAPACHULA - CHIAPAS,14.91,-92.3,660.0,19781001.0
10.18730/JMAEV,G18796,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19781001,MEX,SAN CRISTOBAL DE LAS CASAS - SAN CRISTOBAL DE LAS CASAS - CHIAPAS,16.76,-92.64,930.0,19781001.0
10.18730/S10Z2,G18794A,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19781001,MEX,SAN CRISTOBAL DE LAS CASAS - SAN CRISTOBAL DE LAS CASAS - CHIAPAS,16.76,-92.64,930.0,19781001.0
10.18730/JMADT,G18795,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19781001,MEX,SAN CRISTOBAL DE LAS CASAS - SAN CRISTOBAL DE LAS CASAS - CHIAPAS,16.76,-92.64,930.0,19781001.0
10.18730/S66F7,G18793B,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19781001,ECU,CHAQUIMILLANA - BIBLIAN - CAÑAR,-2.73,-78.89,2500.0,19781001.0
10.18730/PESQE,G18794,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19781001,MEX,SAN CRISTOBAL DE LAS CASAS - SAN CRISTOBAL DE LAS CASAS - CHIAPAS,16.76,-92.64,930.0,19781001.0
10.18730/PESPD,G18793,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19781001,ECU,CHAQUIMILLANA - BIBLIAN - CAÑAR,-2.73,-78.89,2500.0,19781001.0
10.18730/S1TE3,G18793A,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19781001,ECU,CHAQUIMILLANA - BIBLIAN - CAÑAR,-2.73,-78.89,2500.0,19781001.0
10.18730/JM9R5,G18790,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19781001,MEX,COMITÁN DE DOMÍNGUEZ - COMITAN DE DOMINGUEZ - CHIAPAS,16.25,-92.13,1660.0,19781001.0
10.18730/PESMB,G18791,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19781001,MEX,COMITÁN DE DOMÍNGUEZ - COMITAN DE DOMINGUEZ - CHIAPAS,16.25,-92.13,1660.0,19781001.0
10.18730/S2HD=,G18791A,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19781001,MEX,COMITÁN DE DOMÍNGUEZ - COMITAN DE DOMINGUEZ - CHIAPAS,16.25,-92.13,1660.0,19781001.0
10.18730/JMA1E,G18788,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19781001,MEX,OAXACA - OAXACA - OAXACA,17.05,-96.72,1700.0,19781001.0
10.18730/JMA2F,G18789,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19781001,MEX,HUAMANTLA - HUAMANTLA - TLAXCALA,19.32,-97.93,2660.0,19781001.0
10.18730/K0J5K,G1879,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19700901,HND,DISTRITO CENTRAL - COMAYAGUELA - OLANCHO,15.1,-86.5,,19700901.0
10.18730/JMA0D,G18787,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19781001,MEX,HUAJUAPAN DE LEON - HUAJUAPAN DE LEON - OAXACA,17.8,-97.77,1700.0,19781001.0
10.18730/JM9ZC,G18786,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19781001,MEX,TUXTLA GUTIERREZ - TUXTLA GUTIERREZ - CHIAPAS,16.75,-93.12,900.0,19781001.0
10.18730/JM9XA,G18784,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19781001,MEX,TUXTLA GUTIERREZ - TUXTLA GUTIERREZ - CHIAPAS,16.75,-93.12,900.0,19781001.0
