DOI,ACCENUMB,CURATION,GENUS,SPECIES,GRIN_NAME,SAMPSTAT,ACQDATE,ORIGCTY,COLLSITE,DECLATITUDE,DECLONGITUDE,ELEVATION,COLLDATE
10.18730/JKECH,G16570,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19780101,IRN,KARAJ - MARKAZI,35.81,50.93,,19780101.0
10.18730/JKEDJ,G16571,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19780101,IRN,KARAJ - MARKAZI,35.81,50.93,,19780101.0
10.18730/JKEEK,G16572,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19780101,IRN,KARAJ - MARKAZI,35.81,50.93,,19780101.0
10.18730/JKEFM,G16573,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19780101,IRN,KARAJ - MARKAZI,35.81,50.93,,19780101.0
10.18730/JKEHP,G16574,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19780101,IRN,KARAJ - MARKAZI,35.81,50.93,,19780101.0
10.18730/JKEJQ,G16575,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19780101,IRN,KARAJ - MARKAZI,35.81,50.93,,19780101.0
10.18730/JKEKR,G16576,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19780101,IRN,KERMANSHAH CHAMCHAL - KERMANSHAH - KERMANSHAHAN,34.32,47.07,,19780101.0
10.18730/JKEMS,G16577,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19780101,IRN,KERMANSHAH CHAMCHAL - KERMANSHAH - KERMANSHAHAN,34.32,47.07,,19780101.0
10.18730/JRGZ3,G9996,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,100,19770601,MEX,ARROYO DE MIRANDILLA - TALPA DE ALLENDE - JALISCO,20.43,-104.7,,19770601.0
10.18730/PGDH7,G9997,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,100,19770601,MEX,ARROYO DE MIRANDILLA - TALPA DE ALLENDE - JALISCO,20.43,-104.7,,19770601.0
10.18730/S4243,G9997A,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,100,19770601,MEX,ARROYO DE MIRANDILLA - TALPA DE ALLENDE - JALISCO,20.43,-104.7,,19770601.0
10.18730/PGDJ8,G9998,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,100,19770601,MEX,LAGO CHAPALA - CHAPALA - JALISCO,20.3,-103.2,,19770601.0
10.18730/S6AKW,G9998A,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,100,19770601,MEX,LAGO CHAPALA - CHAPALA - JALISCO,20.3,-103.2,,19770601.0
10.18730/JRGW0,G9991,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,100,19770601,MEX,"ABOVE AYUTLA, ALONG RIVER BARRANCA, 8 KM AWAY - AYUTLA - JALISCO",20.12,-104.37,,19770601.0
10.18730/JRGX1,G9992,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,100,19770601,MEX,"ABOVE AYUTLA, ALONG RIVER BARRANCA, 8 KM AWAY - AYUTLA - JALISCO",20.12,-104.37,,19770601.0
10.18730/JRH37,G9993,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,100,19770601,MEX,CERRO DE LAS GALLINAS - CHURINTZIO - MICHOACAN,20.13,-102.08,,19770601.0
10.18730/JRGY2,G9995,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,100,19770601,MEX,ARROYO DE MIRANDILLA - TALPA DE ALLENDE - JALISCO,20.43,-104.7,,19770601.0
10.18730/JNG3B,G9990,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,100,19770601,MEX,"ABOVE AYUTLA, ALONG RIVER BARRANCA, 8 KM AWAY - AYUTLA - JALISCO",20.12,-104.37,,19770601.0
10.18730/S2N68,G9989C,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,100,19770601,MEX,"25 KM MASCOTA, TOWARD PTO. VALLARTA - MASCOTA - JALISCO",20.5,-104.82,1400.0,19770601.0
10.18730/S4TZN,G9989D,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,100,19770601,MEX,"25 KM MASCOTA, TOWARD PTO. VALLARTA - MASCOTA - JALISCO",20.5,-104.82,1400.0,19770601.0
10.18730/S15J1,G9989E,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,100,19770601,MEX,"25 KM MASCOTA, TOWARD PTO. VALLARTA - MASCOTA - JALISCO",20.5,-104.82,1400.0,19770601.0
10.18730/S442W,G9989B,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,100,19770601,MEX,"25 KM MASCOTA, TOWARD PTO. VALLARTA - MASCOTA - JALISCO",20.5,-104.82,1400.0,19770601.0
10.18730/S443X,G9989A,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,100,19770601,MEX,"25 KM MASCOTA, TOWARD PTO. VALLARTA - MASCOTA - JALISCO",20.5,-104.82,1400.0,19770601.0
10.18730/PGDG6,G9989,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,100,19770601,MEX,"25 KM MASCOTA, TOWARD PTO. VALLARTA - MASCOTA - JALISCO",20.5,-104.82,1400.0,19770601.0
10.18730/PMPZ2,G9988,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,200,19770601,MEX,RANCHO CARACOL - ARANDAS - JALISCO,20.67,-102.45,,19770601.0
10.18730/K3BAQ,G9978,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,VILLA UNION - CONCORDIA - SINALOA,23.21,-106.24,,19770601.0
10.18730/K3B8N,G9976,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,NUEVO NECAXA - NUEVO NECAXA - PUEBLA,20.23,-98.0,,19770601.0
10.18730/K3B9P,G9977,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,NUEVO NECAXA - NUEVO NECAXA - PUEBLA,20.23,-98.0,,19770601.0
10.18730/K3B7M,G9975,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,JUAREZ - TETELA DE OCAMPO - PUEBLA,19.81,-97.79,,19770601.0
10.18730/K3GN9,G9974,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,JUAREZ - TETELA DE OCAMPO - PUEBLA,19.81,-97.79,,19770601.0
10.18730/K3B4H,G9971,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,JUAREZ - TETELA DE OCAMPO - PUEBLA,19.81,-97.79,,19770601.0
10.18730/K3B5J,G9972,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,JUAREZ - TETELA DE OCAMPO - PUEBLA,19.81,-97.79,,19770601.0
10.18730/K3B6K,G9973,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,JUAREZ - TETELA DE OCAMPO - PUEBLA,19.81,-97.79,,19770601.0
10.18730/K3B3G,G9970,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,JUAREZ - TETELA DE OCAMPO - PUEBLA,19.81,-97.79,,19770601.0
10.18730/K3B2F,G9969,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,JUAREZ - TETELA DE OCAMPO - PUEBLA,19.81,-97.79,,19770601.0
10.18730/K3B1E,G9968,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,JUAREZ - TETELA DE OCAMPO - PUEBLA,19.81,-97.79,,19770601.0
10.18730/K3B0D,G9967,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,JUAREZ - TETELA DE OCAMPO - PUEBLA,19.81,-97.79,,19770601.0
10.18730/K3AZC,G9966,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,JUAREZ - TETELA DE OCAMPO - PUEBLA,19.81,-97.79,,19770601.0
10.18730/K3AYB,G9965,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,JUAREZ - TETELA DE OCAMPO - PUEBLA,19.81,-97.79,,19770601.0
10.18730/K3AV8,G9961,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,JUAREZ - TETELA DE OCAMPO - PUEBLA,19.81,-97.79,,19770601.0
10.18730/K3AW9,G9962,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,JUAREZ - TETELA DE OCAMPO - PUEBLA,19.81,-97.79,,19770601.0
10.18730/K3AXA,G9963,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,JUAREZ - TETELA DE OCAMPO - PUEBLA,19.81,-97.79,,19770601.0
10.18730/K3GM8,G9964,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,JUAREZ - TETELA DE OCAMPO - PUEBLA,19.81,-97.79,,19770601.0
10.18730/K3AT7,G9960,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,JUAREZ - TETELA DE OCAMPO - PUEBLA,19.81,-97.79,,19770601.0
10.18730/K3AM1,G9954,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,JUAREZ - TETELA DE OCAMPO - PUEBLA,19.81,-97.79,,19770601.0
10.18730/K3AN2,G9955,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,JUAREZ - TETELA DE OCAMPO - PUEBLA,19.81,-97.79,,19770601.0
10.18730/K3AP3,G9956,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,JUAREZ - TETELA DE OCAMPO - PUEBLA,19.81,-97.79,,19770601.0
10.18730/K3AQ4,G9957,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,JUAREZ - TETELA DE OCAMPO - PUEBLA,19.81,-97.79,,19770601.0
10.18730/K3AR5,G9958,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,JUAREZ - TETELA DE OCAMPO - PUEBLA,19.81,-97.79,,19770601.0
10.18730/K3AS6,G9959,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,JUAREZ - TETELA DE OCAMPO - PUEBLA,19.81,-97.79,,19770601.0
10.18730/K3AK0,G9953,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,JUAREZ - TETELA DE OCAMPO - PUEBLA,19.81,-97.79,,19770601.0
10.18730/K3Q7$,G9952,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,JUAREZ - TETELA DE OCAMPO - PUEBLA,19.81,-97.79,,19770601.0
10.18730/K3AJU,G9951,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,JUAREZ - TETELA DE OCAMPO - PUEBLA,19.81,-97.79,,19770601.0
10.18730/K3AH=,G9950,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,JUAREZ - TETELA DE OCAMPO - PUEBLA,19.81,-97.79,,19770601.0
10.18730/K3AG$,G9949,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,JUAREZ - TETELA DE OCAMPO - PUEBLA,19.81,-97.79,,19770601.0
10.18730/K3AF~,G9948,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,JUAREZ - TETELA DE OCAMPO - PUEBLA,19.81,-97.79,,19770601.0
10.18730/K3ACY,G9945,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,JUAREZ - TETELA DE OCAMPO - PUEBLA,19.81,-97.79,,19770601.0
10.18730/K3ADZ,G9946,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,JUAREZ - TETELA DE OCAMPO - PUEBLA,19.81,-97.79,,19770601.0
10.18730/K3AE*,G9947,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,JUAREZ - TETELA DE OCAMPO - PUEBLA,19.81,-97.79,,19770601.0
10.18730/K3AAW,G9943,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,JUAREZ - TETELA DE OCAMPO - PUEBLA,19.81,-97.79,,19770601.0
10.18730/K3ABX,G9944,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,JUAREZ - TETELA DE OCAMPO - PUEBLA,19.81,-97.79,,19770601.0
10.18730/K3A8T,G9941,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,"JALPA, ROAD TO TLALTENANGO - JALPA - ZACATECAS",21.64,-102.97,,19770601.0
10.18730/K3A9V,G9942,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,JUAREZ - TETELA DE OCAMPO - PUEBLA,19.81,-97.79,,19770601.0
10.18730/K3A7S,G9940,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,JALPA - JALPA - ZACATECAS,21.64,-102.97,,19770601.0
10.18730/K3A1K,G9932,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,CALVILLO - CALVILLO - AGUASCALIENTES,21.86,-102.72,,19770601.0
10.18730/K3A2M,G9933,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,CALVILLO - CALVILLO - AGUASCALIENTES,21.86,-102.72,,19770601.0
10.18730/K3A3N,G9934,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,CALVILLO - CALVILLO - AGUASCALIENTES,21.86,-102.72,,19770601.0
10.18730/K3A4P,G9935,,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,CALVILLO - CALVILLO - AGUASCALIENTES,21.86,-102.72,,19721201.0
10.18730/K3A5Q,G9938,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,JALPA - JALPA - ZACATECAS,21.64,-102.97,,19770601.0
10.18730/K3A6R,G9939,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,JALPA - JALPA - ZACATECAS,21.64,-102.97,,19770601.0
10.18730/K3A0J,G9931,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,CALVILLO - CALVILLO - AGUASCALIENTES,21.86,-102.72,,19770601.0
10.18730/K3Q6~,G9930,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,CALVILLO - CALVILLO - AGUASCALIENTES,21.86,-102.72,,19770601.0
10.18730/K39YG,G9928,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,POZA RICA - POZA RICA - VERACRUZ,20.52,-97.38,60.0,19770601.0
10.18730/K39ZH,G9929,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,CALVILLO - CALVILLO - AGUASCALIENTES,21.86,-102.72,,19770601.0
10.18730/K39VD,G9924,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,POZA RICA - POZA RICA - VERACRUZ,20.52,-97.38,60.0,19770601.0
10.18730/PEB7Z,G9925,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,POZA RICA - POZA RICA - VERACRUZ,20.52,-97.38,60.0,19770601.0
10.18730/S1QCG,G9925A,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,POZA RICA - POZA RICA - VERACRUZ,20.52,-97.38,60.0,19770601.0
10.18730/K39WE,G9926,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,POZA RICA - POZA RICA - VERACRUZ,20.52,-97.38,60.0,19770601.0
10.18730/K39XF,G9927,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,POZA RICA - POZA RICA - VERACRUZ,20.52,-97.38,60.0,19770601.0
10.18730/K39SB,G9922,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,POZA RICA - POZA RICA - VERACRUZ,20.52,-97.38,60.0,19770601.0
10.18730/K39TC,G9923,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,POZA RICA - POZA RICA - VERACRUZ,20.52,-97.38,60.0,19770601.0
10.18730/K39RA,G9921,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,POZA RICA - POZA RICA - VERACRUZ,20.52,-97.38,60.0,19770601.0
10.18730/K39Q9,G9920,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,POZA RICA - POZA RICA - VERACRUZ,20.52,-97.38,60.0,19770601.0
10.18730/K39P8,G9918,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,JUAREZ - TETELA DE OCAMPO - PUEBLA,19.81,-97.79,,19770601.0
10.18730/K3Q5*,G9919,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,"POZA RICA, NOT GROWN HERE - POZA RICA - VERACRUZ",20.52,-97.38,60.0,19770601.0
10.18730/K39K5,G9915,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,JUAREZ - TETELA DE OCAMPO - PUEBLA,19.81,-97.79,,19770601.0
10.18730/K39M6,G9916,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,JUAREZ - TETELA DE OCAMPO - PUEBLA,19.81,-97.79,,19770601.0
10.18730/K39N7,G9917,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,JUAREZ - TETELA DE OCAMPO - PUEBLA,19.81,-97.79,,19770601.0
10.18730/K39G2,G9912,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,LA CEIBA - CAZONES - VERACRUZ,20.77,-97.28,,19770601.0
10.18730/K39H3,G9913,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,JUAREZ - TETELA DE OCAMPO - PUEBLA,19.81,-97.79,,19770601.0
10.18730/K39J4,G9914,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,JUAREZ - TETELA DE OCAMPO - PUEBLA,19.81,-97.79,,19770601.0
10.18730/K399*,G9905,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,CIUDAD MENDOZA - CIUDAD MENDOZA - VERACRUZ,18.8,-97.18,1000.0,19770601.0
10.18730/K39A~,G9906,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,CIUDAD MENDOZA - CIUDAD MENDOZA - VERACRUZ,18.8,-97.18,1000.0,19770601.0
10.18730/K39B$,G9907,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,GROWN IN PUEBLA - PUEBLA - PUEBLA,19.05,-98.18,,19770601.0
10.18730/K39C=,G9908,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,LA CEIBA - CAZONES - VERACRUZ,20.77,-97.28,,19770601.0
10.18730/K39DU,G9909,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,LA CEIBA - CAZONES - VERACRUZ,20.77,-97.28,,19770601.0
10.18730/K39E0,G9910,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,LA CEIBA - CAZONES - VERACRUZ,20.77,-97.28,,19770601.0
10.18730/K39F1,G9911,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,LA CEIBA - CAZONES - VERACRUZ,20.77,-97.28,,19770601.0
10.18730/K398Z,G9904,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,CIUDAD MENDOZA - CIUDAD MENDOZA - VERACRUZ,18.8,-97.18,1000.0,19770601.0
10.18730/K397Y,G9903,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,CIUDAD MENDOZA - CIUDAD MENDOZA - VERACRUZ,18.8,-97.18,1000.0,19770601.0
10.18730/K395W,G9901,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,CIUDAD MENDOZA - CIUDAD MENDOZA - VERACRUZ,18.8,-97.18,1000.0,19770601.0
10.18730/K396X,G9902,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,GROWN IN NAYARIT - TEPIC - NAYARIT,21.54,-104.9,,19770601.0
10.18730/K394V,G9900,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,"PUERTO DEL AIRE, PUEBLA-VERACRUZ. STATE LINE - ESPERANZA - PUEBLA",18.75,-97.32,,19770601.0
10.18730/JZXX0,G990,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19700901,IRN,AHWAZ - KHUZESTAN,31.32,48.7,,19700901.0
10.18730/K393T,G9899,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,AZUMBILLA - CHAPULCO - PUEBLA,18.64,-97.39,,19770601.0
10.18730/K3Q4Z,G9898,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,ORIZABA - ORIZABA - VERACRUZ,18.84,-97.1,,19770601.0
10.18730/K390Q,G9895,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,"PUEBLA, NATIVO DE ZACATECAS - PUEBLA - PUEBLA",19.05,-98.18,,19770601.0
10.18730/K391R,G9896,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,"PUEBLA, NATIVO DE AGUASCALIENTES - PUEBLA - PUEBLA",19.05,-98.18,,19770601.0
10.18730/K392S,G9897,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,"PUEBLA, NATIVO DE AGUASCALIENTES - PUEBLA - PUEBLA",19.05,-98.18,,19770601.0
10.18730/JZXWU,G989,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19700901,IRN,KAZERUN - FARS,29.62,51.63,,19700901.0
10.18730/K3GK7,G9890,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,PUEBLA - PUEBLA - PUEBLA,19.05,-98.18,,19770601.0
10.18730/K38WK,G9891,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,PUEBLA - PUEBLA - PUEBLA,19.05,-98.18,,19770601.0
10.18730/K38XM,G9892,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,PUEBLA - PUEBLA - PUEBLA,19.05,-98.18,,19770601.0
10.18730/K38YN,G9893,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,PUEBLA - PUEBLA - PUEBLA,19.05,-98.18,,19770601.0
10.18730/K38ZP,G9894,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,PUEBLA - PUEBLA - PUEBLA,19.05,-98.18,,19770601.0
10.18730/K38VJ,G9889,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,PUEBLA - PUEBLA - PUEBLA,19.05,-98.18,,19770601.0
10.18730/S3WZQ,G9888B,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,PUEBLA - PUEBLA - PUEBLA,19.05,-98.18,,19770601.0
10.18730/S1QBF,G9888C,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,PUEBLA - PUEBLA - PUEBLA,19.05,-98.18,,19770601.0
10.18730/PEB6Y,G9888,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,PUEBLA - PUEBLA - PUEBLA,19.05,-98.18,,19770601.0
10.18730/S1QAE,G9888A,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,PUEBLA - PUEBLA - PUEBLA,19.05,-98.18,,19770601.0
10.18730/K38TH,G9887,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,PUEBLA - PUEBLA - PUEBLA,19.05,-98.18,,19770601.0
10.18730/K38RF,G9885,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,PUEBLA - PUEBLA - PUEBLA,19.05,-98.18,,19770601.0
10.18730/K38SG,G9886,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,PUEBLA - PUEBLA - PUEBLA,19.05,-98.18,,19770601.0
10.18730/K38QE,G9884,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,PUEBLA - PUEBLA - PUEBLA,19.05,-98.18,,19770601.0
10.18730/K38PD,G9883,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,PUEBLA - PUEBLA - PUEBLA,19.05,-98.18,,19770601.0
10.18730/JP4J0,G9881,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19790201,MEX,PUEBLA - PUEBLA - PUEBLA,19.05,-98.18,,19790201.0
10.18730/JNM7*,G9882,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,PUEBLA - PUEBLA - PUEBLA,19.05,-98.18,,19770601.0
10.18730/K38KA,G9878,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,PUEBLA - PUEBLA - PUEBLA,19.05,-98.18,,19770601.0
10.18730/K38MB,G9879,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,PUEBLA - PUEBLA - PUEBLA,19.05,-98.18,,19770601.0
10.18730/JZXV=,G988,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19700901,IRN,AHWAZ - KHUZESTAN,31.32,48.7,,19700901.0
10.18730/K38NC,G9880,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,PUEBLA - PUEBLA - PUEBLA,19.05,-98.18,,19770601.0
10.18730/K38J9,G9877,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,PUEBLA - PUEBLA - PUEBLA,19.05,-98.18,,19770601.0
10.18730/K38H8,G9876,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,PUEBLA - PUEBLA - PUEBLA,19.05,-98.18,,19770601.0
10.18730/K38G7,G9875,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,PUEBLA - PUEBLA - PUEBLA,19.05,-98.18,,19770601.0
10.18730/JZXT$,G987,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19700901,IRN,SHIRAZ - FARS,29.6,52.53,,19700901.0
10.18730/K38B2,G9870,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,MEXICO D.F. - MEXICO D.F. - MEXICO,19.4,-99.15,2530.0,19770601.0
10.18730/K38C3,G9871,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,PUEBLA - PUEBLA - PUEBLA,19.05,-98.18,,19770601.0
10.18730/K38D4,G9872,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,PUEBLA - PUEBLA - PUEBLA,19.05,-98.18,,19770601.0
10.18730/K38E5,G9873,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,ECU,GUAYAQUIL - GUAYAQUIL - GUAYAS,-2.17,-79.97,,19770601.0
10.18730/K38F6,G9874,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,PUEBLA - PUEBLA - PUEBLA,19.05,-98.18,,19770601.0
10.18730/K387=,G9865,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,MEXICO D.F. - MEXICO D.F. - MEXICO,19.4,-99.15,2530.0,19770601.0
10.18730/K3890,G9867,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,MEXICO D.F. - MEXICO D.F. - MEXICO,19.4,-99.15,2530.0,19770601.0
10.18730/K38A1,G9869,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,MEXICO D.F. - MEXICO D.F. - MEXICO,19.4,-99.15,2530.0,19770601.0
10.18730/K386$,G9864,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,MEXICO D.F. - MEXICO D.F. - MEXICO,19.4,-99.15,2530.0,19770601.0
