DOI,ACCENUMB,CURATION,GENUS,SPECIES,GRIN_NAME,SAMPSTAT,ACQDATE,ORIGCTY,COLLSITE,DECLATITUDE,DECLONGITUDE,ELEVATION,COLLDATE,COLLSRC
10.18730/K1CFA,G2785,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19700901,MEX,PARRAL - PARRAL - CHIHUAHUA,26.93,-105.67,1981.0,19700901.0,40.0
10.18730/K1CGB,G2786,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19700901,MEX,NOMBRE DE DIOS - NOMBRE DE DIOS - DURANGO,23.86,-104.24,1768.0,19700901.0,40.0
10.18730/JZ9C9,G278,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19700901,MEX,JAYACATLAN - ETLA - OAXACA,17.42,-96.82,,19700901.0,40.0
10.18730/K1CHC,G2778,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19700901,MEX,"20 MI N OF GUACHOCHI, TONACHI - GUACHOCHI - CHIHUAHUA",26.94,-107.17,1981.0,19700901.0,40.0
10.18730/K1C94,G2777,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19700901,MEX,19 MI W OF GUACHOCHI - GUACHOCHI - CHIHUAHUA,26.85,-107.45,2286.0,19700901.0,40.0
10.18730/K1C61,G2774,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19700901,MEX,HUEJOTITLAN - EL TULE - CHIHUAHUA,27.07,-106.17,1585.0,19700901.0,40.0
10.18730/K1CJD,G2772,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19700901,MEX,SAN JUAN DEL RIO - SAN JUAN DEL RIO - DURANGO,24.79,-104.45,1830.0,19700901.0,40.0
10.18730/K1C50,G2773,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19700901,MEX,SAN JUAN DEL RIO - SAN JUAN DEL RIO - DURANGO,24.74,-104.34,1676.0,19700901.0,40.0
10.18730/S5B2J,G2771A,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,100,19700901,MEX,11 MI.NW IXTLAN DEL RIO - JOMULCO - NAYARIT,21.09,-104.42,1050.0,19700901.0,40.0
10.18730/K1C1~,G2770,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19700901,MEX,LA GARITA - MAZAMITLA - JALISCO,19.77,-103.12,1219.0,19700901.0,40.0
10.18730/K19AM,G2670,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19700901,MEX,HUAMANTLA - HUAMANTLA - TLAXCALA,19.32,-97.95,2553.0,19700901.0,40.0
10.18730/K192C,G2662,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19700901,MEX,SAN ANTONIO DE ABAJO - TEHUACAN - PUEBLA,18.37,-97.5,,19700901.0,40.0
10.18730/K196G,G2648,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19700901,MEX,SAN MIGUEL OCURIO - NUEVA ITALIA DE RUIZ - MICHOACAN,19.0,-102.17,,19700901.0,40.0
10.18730/K18V5,G2646,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19700901,MEX,CUITZEO - CUITZEO - MICHOACAN,19.97,-101.13,1831.0,19700901.0,40.0
10.18730/K18FY,G2643,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19700901,MEX,TANHUATO - TANHUATO - MICHOACAN,20.28,-102.34,1540.0,19700901.0,40.0
10.18730/S2D49,G2636A,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19700901,MEX,TIZAPAN EL ALTO - TIZAPAN EL ALTO - JALISCO,20.14,-103.06,1600.0,19700901.0,40.0
10.18730/K18J~,G2637,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19700901,MEX,JALOSTOTITLAN - JALOSTOTITLAN - JALISCO,21.18,-102.47,1700.0,19700901.0,40.0
10.18730/K185M,G2632,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19700901,MEX,TUXPAN - TUXPAN - JALISCO,19.54,-103.4,,19700901.0,40.0
10.18730/K184K,G2631,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19700901,MEX,ZAPOTILTIC - ZAPOTILTIC - JALISCO,19.64,-103.42,,19700901.0,40.0
10.18730/K17VA,G2622,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19700901,MEX,TIERRAS NEGRAS - PENJAMO - GUANAJUATO,20.49,-101.73,1760.0,19700901.0,40.0
10.18730/K17N4,G2616,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19700901,MEX,SAN PEDRO DEL MONTE - LEON - GUANAJUATO,21.05,-101.72,,19700901.0,40.0
10.18730/K17K2,G2614,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19700901,MEX,LA JOYA - LEON - GUANAJUATO,21.14,-101.74,,19700901.0,40.0
10.18730/K17R7,G2610,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19700901,MEX,SANTIAGO GUELATAO - LAS MARGARITAS - CHIAPAS,16.46,-91.78,,19700901.0,40.0
10.18730/K17BZ,G2606,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19700901,MEX,LAS MARGARITAS - LAS MARGARITAS - CHIAPAS,16.33,-91.99,1020.0,19700901.0,40.0
10.18730/K14GE,G2503,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19700901,MEX,SAIN ALTO - SAIN ALTO - ZACATECAS,23.59,-103.25,2291.0,19700901.0,40.0
10.18730/K14FD,G2502,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19700901,MEX,RANCHO LA FELICIDAD - MIAHUANTLA - VERACRUZ,19.71,-96.86,100.0,19700901.0,40.0
10.18730/K14CA,G2499,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19700901,MEX,VICENTE GUERRERO - VICENTE GUERRERO - TLAXCALA,19.14,-98.17,2230.0,19700901.0,40.0
10.18730/K1486,G2494,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19700901,MEX,"EL PUNTO, CHICOMEZUCHIL - IXTLAN DE JUAREZ - OAXACA",17.29,-96.5,,19700901.0,40.0
10.18730/K1475,G2493,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19700901,MEX,IXTLAN DE JUAREZ - IXTLAN DE JUAREZ - OAXACA,17.32,-96.47,1886.0,19700901.0,40.0
10.18730/K1464,G2492,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19700901,MEX,EJUTLA - EJUTLA - OAXACA,16.57,-96.74,1440.0,19700901.0,40.0
10.18730/K13X*,G2483,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19700901,MEX,EL GRULLO - EL GRULLO - JALISCO,19.81,-104.21,952.0,19700901.0,40.0
10.18730/K13TX,G2480,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19700901,MEX,ZACOALCO - ZACOALCO DE TORRES - JALISCO,20.25,-103.56,,19700901.0,40.0
10.18730/K13QT,G2477,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19700901,MEX,TECALITLAN - TECALITLAN - JALISCO,19.47,-103.32,,19700901.0,40.0
10.18730/K1420,G2470,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19700901,MEX,TLAPEHUALA - TLAPEHUALA - GUERRERO,18.22,-100.52,,19700901.0,40.0
10.18730/K13EH,G2468,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19700901,MEX,SAN JOSE - VALLE DE SANTIAGO - GUANAJUATO,20.38,-101.16,1780.0,19700901.0,40.0
10.18730/K138B,G2462,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19700901,MEX,POTRERO NUEVO - EL SALTO - DURANGO,23.38,-105.38,,19700901.0,40.0
10.18730/K13SW,G2461,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19700901,MEX,EJIDO DE CANATLAN - CANATLAN - DURANGO,24.54,-104.75,,19700901.0,40.0
10.18730/JYASX,G24604,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,100,19930201,MEX,"MONTE ALBAN, RUINAS DE MONTE ALBAN - ZIMATLAN - OAXACA",17.03,-96.77,1800.0,19930201.0,10.0
10.18730/JYAEJ,G24605,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,100,19930201,MEX,"9 KM W DE ARANDAS, EL TULE - ARANDAS - JALISCO",20.7,-102.42,1960.0,19930201.0,10.0
10.18730/S4EX5,G24603A,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19930201,MEX,45 KM S DE TEOPISCA - TEOPISCA - CHIAPAS,16.5,-92.49,1630.0,19930201.0,20.0
10.18730/JYABF,G24602,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19930201,MEX,"SAN CRISTOBAL DE LAS CASAS, COLONIA MULTAJO - IXTAPA - CHIAPAS",16.71,-92.86,1660.0,19930201.0,20.0
10.18730/S6MXS,G24600A,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19930201,MEX,"AMATENANGO DEL VALLE, COLONIA BENITO JUÁREZ - AMATENANGO DEL VALLE - CHIAPAS",16.47,-92.44,1780.0,19930201.0,20.0
10.18730/PHQDF,G24599,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,200,19930201,MEX,"TEOPISCA, EJIDO TEOPISCA, RÍO BLANQUITO, LADO O CERRO - TEOPISCA - CHIAPAS",16.48,-92.52,1100.0,19930201.0,60.0
10.18730/JYA26,G24595,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,100,19930201,MEX,"TEOPISCA, COLONIA NUEVO LEÓN - TEOPISCA - CHIAPAS",16.48,-92.57,1015.0,19930201.0,10.0
10.18730/JYA15,G24594,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,100,19930201,MEX,"IXTAPA, KM 37.1 CARRETERA TUXTLA-SAN CRISTOBAL - IXTAPA - CHIAPAS",16.75,-92.9,1400.0,19930201.0,10.0
10.18730/JY9KW,G24591,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,100,19930201,MEX,"VENUSTIANO CARRANZA, RANCHO EL REFUGIO - VENUSTIANO CARRANZA - CHIAPAS",16.33,-92.43,890.0,19930201.0,10.0
10.18730/JY9GS,G24589,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,100,19930201,MEX,"LA TRINITARIA, RUINAS CHINKULTIC - LA TRINITARIA - CHIAPAS",16.25,-91.83,1525.0,19930201.0,10.0
10.18730/JY9NY,G24587,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19930201,MEX,"LIBRE NICOLAS RUIZ , PREDIO STA. LUCIA - NICOLAS RUIZ - CHIAPAS",16.44,-92.59,850.0,19930201.0,20.0
10.18730/JY9Y2,G24588,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,100,19930201,MEX,VILLA LAS ROSAS - VILLA LAS ROSAS - CHIAPAS,16.33,-92.38,1280.0,19930201.0,10.0
10.18730/PG9V0,G24582,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,100,19930201,MEX,"VENUSTIANO CARRANZA, CHITAMA - VENUSTIANO CARRANZA - CHIAPAS",16.33,-92.45,775.0,19930201.0,10.0
10.18730/S6MTP,G24581C,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19930201,MEX,"TEOPISCA, EJIDO TEOPISCA, PREDIO FRANCISCO SÁNCHEZ - TEOPISCA - CHIAPAS",16.47,-92.54,1190.0,19930201.0,20.0
10.18730/JY97G,G24580,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19930201,MEX,"TEOPISCA, M. MATAMOROS - TEOPISCA - CHIAPAS",16.47,-92.59,905.0,19930201.0,20.0
10.18730/S1GSV,G24577A,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19930201,MEX,"OCOSINGO, ABASOLO - OCOSINGO - CHIAPAS",16.82,-92.24,1480.0,19930201.0,20.0
10.18730/S4EW4,G24575A,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,100,19930201,MEX,8 KM N DE PORTILLO - PORTILLO - OAXACA,16.63,-96.58,1900.0,19930201.0,10.0
10.18730/JY8N=,G24576,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,100,19930201,MEX,5 KM N DE CHICHICAPAN - CHICHICAPAN - OAXACA,16.8,-96.52,1800.0,19930201.0,10.0
10.18730/S6MRM,G24574A,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,100,19930201,MEX,6 KM S DE SAN ANTONIO XAGUIA - SAN ANTONIO XAGUIA - OAXACA,16.47,-96.53,1450.0,19930201.0,10.0
10.18730/JY8FX,G24573,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,100,19930201,MEX,3 KM N DE SAN MIGUEL COATLAN - SAN MIGUEL COATLAN - OAXACA,16.22,-96.7,1350.0,19930201.0,10.0
10.18730/S56CG,G24572A,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,100,19930201,MEX,38 KM SAN JOSE DEL PACIFICO - SAN JOSE - OAXACA,15.98,-96.52,1780.0,19930201.0,10.0
10.18730/JY8EW,G24570,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,100,19930201,MEX,SAN JUAN TEITA - SAN JUAN TEITA - OAXACA,17.08,-97.42,1630.0,19930201.0,10.0
10.18730/K12V=,G2451,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19700901,MEX,BOCHIL - BOCHIL - CHIAPAS,16.99,-92.94,1100.0,19700901.0,40.0
10.18730/K137A,G2445,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19700901,MEX,SAN CARLOS - OCOCINGO - CHIAPAS,16.77,-92.07,1020.0,19700901.0,40.0
10.18730/JRANQ,G24432,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19800501,MEX,ELOTEPEC - HUATUSCO - VERACRUZ,19.19,-97.02,1840.0,19800501.0,40.0
10.18730/JRA46,G24430,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19800501,MEX,"ACTIMAXAL, AL S CUETZALAN - CUETZALAN - PUEBLA",20.04,-97.52,1300.0,19800501.0,40.0
10.18730/JRAJM,G24429,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19800501,MEX,CUAHUTAPEHUAL - NAUZONTLA - PUEBLA,19.94,-97.59,1710.0,19800501.0,40.0
10.18730/JY78V,G24393,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,100,19920301,MEX,KM 10 TUXCUECA-MAZAMITLA - TUXCUECA - JALISCO,20.12,-103.18,1920.0,19920301.0,40.0
10.18730/JY75R,G24390,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,100,19920301,MEX,2 KM W COFRADIA - SANTA MARIA DEL ORO - NAYARIT,21.35,-104.53,640.0,19920301.0,40.0
10.18730/JY76S,G24391,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,100,19920301,MEX,KM 18 AHUACATLAN-AMATLAN DE CAÑAS - AMATLAN DE CAÑAS - NAYARIT,20.97,-104.48,1240.0,19920301.0,40.0
10.18730/JY77T,G24392,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,100,19920301,MEX,SAN IGNACIO CERRO GORDO - ARANDAS - JALISCO,20.73,-102.53,2020.0,19920301.0,40.0
10.18730/JY73P,G24388,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,100,19920301,MEX,"KM 33.5 TEPA-YAHUALICA, RIO VERDE - TEPATITLAN - JALISCO",21.0,-103.82,1480.0,19920301.0,40.0
10.18730/JY74Q,G24389,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,100,19920301,MEX,KM 24 GUADALAJARA-MOYAHUA - IXTLAHUACAN DEL RIO - JALISCO,20.83,-103.33,1050.0,19920301.0,40.0
10.18730/JY6TD,G24387,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,100,19920301,MEX,KM 4 CAJITITLAN-TLAJOMULCO - TLAJOMULCO - JALISCO,20.44,-103.32,1550.0,19920301.0,40.0
10.18730/K3FSJ,G24385,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,100,19920301,MEX,ACATLAN DE JUAREZ - ACATLAN DE JUAREZ - JALISCO,20.4,-103.58,1520.0,19920301.0,40.0
10.18730/JY6N8,G24386,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,100,19920301,MEX,KM 29 GUADALAJARA-COLOTLAN - SAN CRISTOBAL BARRANCA - JALISCO,21.0,-103.42,1000.0,19920301.0,40.0
10.18730/JY70K,G24384,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,100,19920301,MEX,VILLA CORONA (EL TULAR) - VILLA CORONA - JALISCO,20.41,-103.67,1350.0,19920301.0,40.0
10.18730/JY6VE,G24379,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,100,19920301,MEX,SANTA ROSA-EL SALVADOR - TEQUILA - JALISCO,20.97,-103.72,1680.0,19920301.0,40.0
10.18730/JY6XG,G24381,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,100,19920301,MEX,BARRANCA HUENTITLAN - IXTLAHUACAN DEL RIO - JALISCO,20.72,-103.28,1350.0,19920301.0,40.0
10.18730/S566A,G24377A,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,100,19920301,MEX,RANCHO BUENOS AIRES (COJUMATLAN) - COJUMATLAN - MICHOACAN,20.1,-102.92,1700.0,19920301.0,40.0
10.18730/JY71M,G24378,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,100,19920301,MEX,LOS SABINOS - SOLA DE VEGA - OAXACA,16.4,-97.08,1250.0,19920301.0,40.0
10.18730/PG9KX,G24374,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,100,19920301,MEX,COLORINES - NUEVO SANTO TOMAS DE LOS PLATANOS - MEXICO,19.17,-100.2,1620.0,19920301.0,40.0
10.18730/PG9MY,G24375,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,100,19920301,MEX,KM 3 ZULUAPAN-TINGAMBATO - OTZOLOAPAN - MEXICO,19.09,-100.33,1400.0,19920301.0,40.0
10.18730/JY6RB,G24376,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,100,19920301,MEX,KM 4 ZULUAPAN-VALLE DE BRAVO - OTZOLOAPAN - MEXICO,19.17,-100.32,1320.0,19920301.0,40.0
10.18730/JY6SC,G24371,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,100,19920301,MEX,TERRERO - TECALITLAN - JALISCO,19.4,-103.37,1200.0,19920301.0,40.0
10.18730/JY6P9,G24372,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,100,19920301,MEX,LAS JUNTAS - ZACAZONAPAN - MEXICO,18.88,-100.25,1200.0,19920301.0,40.0
10.18730/JY6QA,G24373,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,100,19920301,MEX,5 KM S PALMAR CHICO - AMATEPEC - MEXICO,18.65,-100.4,1180.0,19920301.0,40.0
10.18730/PG9JW,G24370,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,100,19920301,MEX,SAN JERONIMO (CERRO GRANDE) - ATOTONILCO EL ALTO - JALISCO,20.4,-102.33,1550.0,19920301.0,40.0
10.18730/S6MMG,G24366A,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,200,19920301,MEX,EL ZAPOTE - ACATLAN DE JUAREZ - JALISCO,20.48,-103.4,1550.0,19920301.0,40.0
10.18730/JY6J5,G24367,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,100,19920301,MEX,KM 33.5 ZAMORA-LA BARCA - IXTLAN - MICHOACAN,20.2,-102.45,1700.0,19920301.0,40.0
10.18730/JY6H4,G24365,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,100,19920301,MEX,2 KM NW QUESERIA - TONILA - COLIMA,19.4,-103.53,1400.0,19920301.0,40.0
10.18730/JY6F2,G24363,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,100,19920301,MEX,KM 2 LAS ANIMAS-EL SAUCITO - TECALITLAN - JALISCO,19.28,-103.17,1700.0,19920301.0,40.0
10.18730/JY6G3,G24364,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,100,19920301,MEX,KM 4 LLANITOS-PLAN DE LEGOS - TECALITLAN - JALISCO,19.4,-103.33,1520.0,19920301.0,40.0
10.18730/JY6CU,G24359,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,100,19920301,MEX,PUENTE F. ESPINOZA - ZAPOTLANEJO - JALISCO,20.62,-103.15,1400.0,19920301.0,40.0
10.18730/JY6D0,G24360,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,100,19920301,MEX,NEXTIPAC - ZAPOPAN - JALISCO,20.77,-103.53,1650.0,19920301.0,40.0
10.18730/JY61S,G24361,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,100,19920301,MEX,KM 6 PLAN DE LEGOS-EL SOYATAL - JILOTLAN DE LOS DOLORES - JALISCO,19.28,-103.25,1600.0,19920301.0,40.0
10.18730/K3GVF,G24362,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,100,19920301,MEX,EL SAUCITO - JILOTLAN DE LOS DOLORES - JALISCO,19.3,-103.08,1460.0,19920301.0,40.0
10.18730/JY6B=,G24358,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,100,19920301,MEX,BENITO JUAREZ - BENITO JUAREZ - MICHOACAN,19.3,-100.42,1300.0,19920301.0,40.0
10.18730/PG9HV,G24356,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,100,19920301,MEX,ALCHALOA - ATOYAC DE ALVAREZ - GUERRERO,17.17,-100.4,1550.0,19920301.0,40.0
10.18730/JY6A$,G24357,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,100,19920301,MEX,KM 40 TELOLOAPAN-ARCELIA - ARCELIA - GUERRERO,18.38,-100.07,1700.0,19920301.0,40.0
10.18730/JY68*,G24354,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,100,19920301,MEX,2 KM W ACAHUIZOTLA - CHILPANCINGO DE BRAVOS - GUERRERO,17.35,-99.48,1090.0,19920301.0,40.0
10.18730/JY66Y,G24351,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,100,19920301,MEX,15 KM S EL CHANTE-LAS JOYAS - CUAUTITLAN - JALISCO,19.57,-104.22,1530.0,19920301.0,40.0
10.18730/JY5SH,G24352,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,100,19920301,MEX,4 KM SE COJUMATLAN - SAHUAYO - MICHOACAN,20.1,-102.87,1650.0,19920301.0,40.0
10.18730/JY6E1,G24353,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,100,19920301,MEX,1.5 KM ENE FCO. VILLA - DURANGO - DURANGO,24.18,-104.4,1900.0,19920301.0,40.0
10.18730/JY64W,G24348,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,100,19920301,MEX,KM 3 NEVADO DE COLIMA - ZAPOTILTIC - JALISCO,19.6,-103.55,2030.0,19920301.0,40.0
10.18730/JY65X,G24349,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,100,19920301,MEX,"1 KM S, EL CHANTE-MANANTLAN - EL GRULLO - JALISCO",19.7,-104.2,1030.0,19920301.0,40.0
10.18730/K3GTE,G24350,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,100,19920301,MEX,MANANTLAN - EL GRULLO - JALISCO,19.62,-104.2,1410.0,19920301.0,40.0
10.18730/S6MKF,G24345A,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,100,19920301,MEX,KM 7 AHUACATLAN-AMATLAN DE CAÑAS - AHUACATLAN - NAYARIT,21.03,-104.48,1330.0,19920301.0,40.0
10.18730/JY62T,G24346,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,100,19920301,MEX,ACATLAN DE JUAREZ - ACATLAN DE JUAREZ - JALISCO,20.42,-103.58,1390.0,19920301.0,40.0
10.18730/JY63V,G24347,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,100,19920301,MEX,KM 0.5 NEVADO DE COLIMA - ZAPOTILTIC - JALISCO,19.6,-103.53,1820.0,19920301.0,40.0
10.18730/K3FRH,G24343,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,100,19920301,MEX,14 KM CHIQUILISTLAN-TECOLOTLAN - CHIQUILISTLAN - JALISCO,20.17,-103.92,1350.0,19920301.0,40.0
10.18730/JY67Z,G24344,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,100,19920301,MEX,LAS PINTAS - TLAQUEPAQUE - JALISCO,20.58,-103.33,1540.0,19920301.0,40.0
10.18730/JY5XN,G24339,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,100,19920301,MEX,4 KM CHIQUILISTLAN-TECOLOTLAN - CHIQUILISTLAN - JALISCO,20.13,-103.88,1600.0,19920301.0,40.0
10.18730/JY5YP,G24340,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,100,19920301,MEX,8 KM CHIQUILISTLAN-TECOLOTLAN - CHIQUILISTLAN - JALISCO,20.13,-103.9,1420.0,19920301.0,40.0
10.18730/JY5ZQ,G24341,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,100,19920301,MEX,11 KM CHIQUILISTLAN-TECOLOTLAN - CHIQUILISTLAN - JALISCO,20.18,-103.9,1330.0,19920301.0,40.0
10.18730/JY5VK,G24337,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,100,19920301,MEX,2 KM N CHIQUILISTLAN - CHIQUILISTLAN - JALISCO,20.12,-103.85,1670.0,19920301.0,40.0
10.18730/S3PYF,G24334B,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,100,19920301,MEX,KM 23 TAPALPA-CHIQUILISTLAN - CHIQUILISTLAN - JALISCO,20.08,-103.85,1650.0,19920301.0,40.0
10.18730/JY5QF,G24330,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,100,19920301,MEX,VOLCAN DE COLIMA - TUXPAN - JALISCO,19.6,-103.37,1700.0,19920301.0,40.0
10.18730/PG9CP,G24332,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,100,19920301,MEX,KM 2 TAPALPA-CHIQUILISTLAN - TAPALPA - JALISCO,19.95,-103.78,2010.0,19920301.0,40.0
10.18730/K128G,G2433,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19700901,MEX,MONTERO - AGUASCALIENTES - AGUASCALIENTES,21.79,-102.36,1979.0,19700901.0,40.0
10.18730/S6MHD,G24329A,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,100,19920301,MEX,LA CALAVERNA - CONCEPCION BUENOS AIRES - JALISCO,19.92,-103.35,1950.0,19920301.0,40.0
10.18730/JY5PE,G24328,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,100,19920301,MEX,EL LIMONCITO - CUAUTITLAN - JALISCO,19.45,-104.37,1600.0,19920301.0,40.0
10.18730/JY5ND,G24327,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,100,19920301,MEX,EL MOLINO - EL GRULLO - JALISCO,19.57,-104.38,1000.0,19920301.0,40.0
10.18730/JY5MC,G24326,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,100,19920301,MEX,AGUA ESCONDIDA - SAN MARCOS - JALISCO,20.78,-104.2,1680.0,19920301.0,40.0
10.18730/JY5KB,G24325,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,100,19920301,MEX,CHORROS DE TALA - TALA - JALISCO,20.65,-103.7,1680.0,19920301.0,40.0
10.18730/S3PXE,G24324A,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,100,19920301,MEX,PUENTE GRANDE - ZAPOTLANEJO - JALISCO,20.57,-103.15,1360.0,19920301.0,40.0
10.18730/JY5C4,G24323,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,100,19920201,MEX,4 KM E BOCHIL - BOCHIL - CHIAPAS,17.08,-93.08,1280.0,19920201.0,10.0
