DOI,ACCENUMB,CURATION,GENUS,SPECIES,GRIN_NAME,SAMPSTAT,ACQDATE,ORIGCTY,COLLSITE,DECLATITUDE,DECLONGITUDE,ELEVATION,COLLDATE,COLLSRC
10.18730/JKT5R,G17001,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19780101,IRN,ASTANEH - GILAN,37.25,49.94,,19780101.0,40.0
10.18730/JKSA$,G16990,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19780101,IRN,ABBASABAD TORBAT - AZERBAIJAN,38.92,46.83,,19780101.0,40.0
10.18730/JKS5X,G16988,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19780101,IRN,SHAHSAVAR - AZERBAIJAN,38.31,46.81,,19780101.0,40.0
10.18730/JKRZQ,G16984,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19780101,IRN,SARAB - AZERBAIJAN,37.94,47.56,,19780101.0,40.0
10.18730/JKR80,G16974,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19780101,IRN,ASTARA - GILAN,38.4,48.86,,19780101.0,40.0
10.18730/JNEM1,G16804,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19700901,IRN,HAMADAN - HAMADAN,34.81,48.48,,19700901.0,40.0
10.18730/JKJQ8,G16704,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19780101,IRN,GHAZVIN ROUD BAR - GHAZVIN - QAZVIN,36.25,50.01,,19780101.0,40.0
10.18730/JKJK4,G16699,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19780101,IRN,SHIRAZ ARDAKAN - SHIRAZ - FARS,30.25,51.99,,19780101.0,40.0
10.18730/JKJG1,G16697,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19780101,IRN,MANGILI - KHORASAN,36.76,57.74,,19780101.0,40.0
10.18730/JKJ5V,G16686,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19780101,IRN,SANANDAJ - KORDESTAN,35.34,47.0,,19780101.0,40.0
