DOI,ACCENUMB,CURATION,GENUS,SPECIES,GRIN_NAME,ORIGCTY,COLLSITE,DECLATITUDE,DECLONGITUDE,SAMPSTAT,ELEVATION,COLLSRC,MODCF_CloudForestPrediction,MODCF_meanannual,MODCF_seasonality_concentration,current_30arcsec_annualPET,current_30arcsec_aridityIndexThornthwaite,current_30arcsec_climaticMoistureIndex,current_30arcsec_continentality,AWCh1_M_sl1,AWCh1_M_sl2,AWCtS_M_sl1,CECSOL_M_sl1,CECSOL_M_sl2,CLYPPT_M_sl1,CRFVOL_M_sl1,BDRICM_M,ORCDRC_M_sl1,ORCDRC_M_sl2,OCDENS_M_sl1,OCSTHA_M_sd1,PHIHOX_M_sl1,PHIKCL_M_sl1,BDRLOG_M,SNDPPT_M_sl1,SLTPPT_M_sl1,SLGWRB,WWP_M_sl1,ACDWRB_M_ss,bio1,bio10,bio12,bio13,bio14,bio15,bio18,bio19,bio2,bio3,bio8,bio9,prec_1,prec_10,prec_11,prec_4,prec_5,prec_6,prec_7,srad_1,srad_10,srad_3,srad_4,srad_5,srad_9,wind_1,wind_10,cluster_anegamiento,Resistencia_Anegamiento
349,G16570,0,0,0,0,24,1563,35.81,50.93,0.3591811050669926,-0.6807404841145365,0.3859604233784113,-0.5998671786009866,-1.8666361989399969,2.084951798306508,-0.7297274398040777,0.3535509604922917,-0.4576825708896179,1.4141339305405116,0.3085889191485086,0.2276848888251061,-1.860985648634604,-1.1877920055832438,-1.1383099190106238,-1.5281419427651075,-0.9620172713457402,0.6071251130757639,-1.0135034096676412,-0.8349009787557171,-1.115525799294508,-1.1605425557367202,1.7240194319237316,1.6285972908933144,-1.0823429993635068,0.3424996655828751,1.117049756179154,-0.1099513511812154,-1.6293040446437357,-1.1698836982734446,-0.6620498239114624,1.050750728279947,-1.3708671585096022,-1.4191678961365977,-0.6957959243410308,-0.207019633375394,-1.5483929463757982,-0.2988353302875551,-0.0015615950635426,-1.6853279481886996,-2.396855183869238,1.0930053108680018,-0.4494389636726906,-0.9848706687175915,-0.6889188471080027,-0.6590061523791642,-0.8708919491913102,-1.0620107269406105,-1.0459927333425083,-1.1318515556154995,-0.5593085353404069,-0.926190082385079,-0.1664003753779984,0.8050367771037341,1.1137866743367746,-0.1588267718029321,0.3229038756448727,1,0
350,G16576,0,0,0,0,24,1579,34.32,47.07,0.3591811050669926,-0.5007723426914878,0.3859604233784113,-0.5996553967638893,-1.5310754473814878,1.9302141135757205,-0.7510954772787545,0.2849157577758145,-0.4475364481659569,1.395004076814082,0.7943950538237766,0.2276848888251061,-1.1544713853672233,-0.7250916881840593,-0.3268283271420874,-0.7056311332590228,0.5061520339634855,0.6071251130757639,-1.3971720212996457,-0.7954918781783972,-0.3483801863961775,-1.2661692346812117,2.239849254333832,2.448902220273293,-0.9197760006412448,-0.3070593246106268,0.9795121240860004,8.092419446937457,-1.0901110558948175,-1.1698836982734446,-0.4960938969843599,1.062849895059898,-1.0073870710715316,-0.9521193637857782,-0.7732684634130653,0.3344572216801481,-1.6032053383272806,0.207576942423698,1.4687235981063544,-1.229574514149497,-2.058880563353044,1.135271941718767,0.0621365124897015,-0.9194080819644146,-0.2913182693701239,-0.1361913090525806,-0.7362666091232899,-1.109707030023204,-1.073672674336954,-1.15412393644927,-0.0670532722562869,-0.7461522791329089,-0.2203261112457134,0.8796227683874779,2.107256348897453,-0.3729298787695683,0.3229038756448727,1,0
2112,G990,0,0,0,0,24,488,31.32,48.7,0.3591811050669926,-1.271689711162762,0.3859604233784113,-0.5403822342927147,-2.0496161906435044,2.285200566781644,-0.4235420868172639,1.195441212756153,-1.7391569851617408,1.982558722360631,0.3085889191485086,-0.2768287559180501,-1.6254808942121433,-0.9564418468836516,-0.7325691230763556,-1.253971672929746,0.7730919076560719,0.6071251130757639,-1.4197407631603518,-1.1107646827969562,-1.3914290460386445,-1.7943026294036697,1.5950619763212064,3.105146163777276,-1.0823429993635068,0.3424996655828751,0.9795121240860004,3.991234047878121,-1.3597075502692766,-1.1698836982734446,1.5566912320237614,3.71662414275657,-1.399211935970369,-1.2571306502189663,-0.8120047329490826,1.142695052622444,-1.6251302951078737,-0.0481361853809941,1.148603557823813,-1.3830312280055794,-0.521372949575351,2.739056429746976,-0.0840279092709819,-1.1485271356005344,-0.6066566586105105,-0.8681320897097976,-1.1266800953205487,-1.1287855512562417,-1.0828993213351026,-0.7818258058455592,0.306393984247732,-0.1752656346352129,0.3358037169360582,1.1180164839245756,2.205778004058974,0.1623282076856287,0.0648911749314939,0,0
2111,G989,0,0,0,0,24,1577,29.62,51.63,0.3591811050669926,-1.291793093264302,0.3859604233784113,-0.5533909408523916,-2.205119953560862,2.4672449017590403,1.2958704834787491,1.3669170273942326,-1.834246556171241,0.9713892818989844,0.3085889191485086,-0.2768287559180501,-1.6254808942121433,-1.30346708493304,-1.0030629870325345,-0.5685459983413421,0.3726820971171922,0.6071251130757639,-1.442309505021058,-0.9531282804876768,-1.2837594863336157,-1.6886759504591775,1.8529768875262569,3.105146163777276,-1.353287997233943,-1.736089103036331,2.4924260771106925,-0.1099513511812154,-1.0901110558948175,-1.1698836982734446,0.9746191318602664,3.0793956409121783,-1.445897451788103,-1.3238518691262264,-0.8120047329490826,1.2325487160846862,-1.6196490559127252,-0.1233459288529624,1.4772221663008904,-1.308790095321278,-0.7984013843124197,1.4358347594710634,-0.2886580997359388,-1.0612436865962982,-0.7848914003550768,-1.0324453261838666,-1.1939927653545588,-1.1287855512562417,-1.0828993213351026,-0.3636727735252621,0.9213584123369712,0.2035039929735858,0.6897947437977451,1.5016417900368124,2.629266375198287,-0.1588267718029321,-0.0641150216376775,0,0
2110,G987,0,0,0,0,24,2721,29.6,52.53,0.3591811050669926,-1.3556055086036252,0.3859604233784113,-0.5534101176991427,-2.1320448770019533,1.8118852958404124,1.6046863796013342,1.1651830814780952,-1.7220195511575067,0.797467606156232,0.3085889191485086,-0.2768287559180501,-1.3899761397896833,-1.0721169262334478,-0.867816055054445,-0.2943757285059805,-0.0277277134216875,0.6071251130757639,-1.4197407631603518,-0.9925373810649966,-1.229924706481101,-1.6886759504591775,1.8529768875262569,2.7770241920252845,-1.353287997233943,-0.6967947187267279,1.117049756179154,-0.1099513511812154,-1.0901110558948175,-1.1698836982734446,0.0867957382608648,1.8170381117038144,-1.5125910458134368,-1.4477627042397092,-0.8120047329490826,0.9507993355251364,-1.614167816717577,-0.273765415796899,1.397900494284643,-1.2249804378059954,-1.5990133908830428,1.6330791562075702,-0.3178909840880755,-1.159437566726064,-0.9357054126004792,-0.8830696566619857,-1.1132175613137465,-1.119246290639723,-1.073672674336954,-0.4171701588612793,1.02952689593975,0.0737962465411118,0.4549035016745696,1.1962614106297862,2.629266375198287,-0.0517750268964503,-0.0641150216376775,0,0
2109,G980,0,0,0,0,24,2812,38.08,46.3,0.3591811050669926,-0.7570373246143549,0.3859604233784113,-0.6000271444514969,-1.2937275987181522,1.7663742120960633,-0.9961220129333436,0.0322525987312499,-0.0047740718379529,1.2424379344275485,-0.1772172155267593,0.2276848888251061,-1.3899761397896833,0.0846338672645136,0.484653264726449,-0.7056311332590228,0.2392121602708989,0.6071251130757639,-1.4197407631603518,-0.8349009787557171,-1.2164660115179724,-1.5830492715146862,1.981934343128782,2.1207802485213016,-0.648831002770808,-0.1771475265719264,0.8419744919928466,-0.1099513511812154,-0.8205145615203591,-1.1698836982734446,-1.0168521747251578,0.8571623674481734,-1.3775365179121355,-1.4191678961365977,-0.6570596548050135,-0.4356580588148556,-1.4661743584485742,-0.5395065093978536,-0.2848534126031762,-1.841603527680664,-1.1945519126258135,1.0436942116838763,-0.6686855963137158,-0.9630498064665326,-0.7300499413567487,-0.3751923802875902,-0.6016412690552697,-0.9380003389258668,-1.03676608634436,-1.4945419925262111,-0.8657267970872943,-1.2626824622653332,-0.4975639434981373,0.4869908520070156,1.3696334856462744,-0.1588267718029321,-0.3221277223510561,1,0
2108,G978,0,0,0,0,24,2334,37.55,45.07,0.3591811050669926,-0.7738183437099347,0.3859604233784113,-0.5999055554624867,-1.3855098948761415,1.8847030298313712,-0.6973283224241121,0.2429268687800248,-0.1993100235312118,1.2005012592470827,0.3085889191485086,0.2276848888251061,-1.860985648634604,-1.30346708493304,-1.0030629870325345,-1.5281419427651075,-0.4281375239605672,0.6071251130757639,-1.2617595701354087,-0.874310079333037,-1.2164660115179724,-1.4774225925701947,2.239849254333832,1.7926582767693102,-1.0823429993635068,0.6023232616602759,0.8419744919928466,-0.1099513511812154,-1.898900539018194,-1.1698836982734446,-1.2514795374683088,0.2280001562823565,-1.209135192998167,-1.2285358421158552,-0.6957959243410308,-0.1956734412836488,-1.4771368368388709,-0.3439611763707361,0.0352663862165064,-1.654509887164391,-1.2832010293106333,0.6492055525729202,-0.4932882902008956,-0.9630498064665326,-0.5381048348626004,-0.0764410412438281,-0.4400908609736454,-0.9666181207754232,-1.018312792348063,-1.3294643463465017,-0.7259943953184591,-1.1318243145341231,-0.3592758601073101,0.4883981348614258,1.590920344621628,-0.5870329857362047,-0.580140269276917,1,0
2107,G977,0,0,0,0,24,1379,34.8,48.5,0.3591811050669926,-0.3931811762306778,0.3859604233784113,-0.5997228114873161,-1.321203827504302,1.0199924386887365,-0.7383776666993922,0.2654250057728514,-0.3727295588706237,1.3354450025846802,-0.1772172155267593,-0.2768287559180501,-1.860985648634604,-0.8407667675338554,-0.4620752591201768,-0.8427162681767036,0.5061520339634855,0.6071251130757639,-1.1940533445532904,-0.7954918781783972,-0.9943975446263504,-1.3717959136257032,1.8529768875262569,1.6285972908933144,-0.81139800149307,-0.3070593246106268,1.117049756179154,-0.1099513511812154,-1.3597075502692766,-1.1698836982734446,-1.2988955730449865,0.4417538976475368,-1.285832826127301,-1.3429150745283007,-0.7732684634130653,0.1118808032878371,-1.5648366639612428,-0.1985556723249307,0.7604936312751269,-1.5543186393183457,-1.4244855498421671,0.7947906044394741,-0.2594252153838021,-1.0830645488473571,-0.7163395766071667,-0.3602548133354021,-0.6151038030620718,-1.042932205707573,-1.073672674336954,-1.2569699302993274,-0.2844541917595762,-0.8985804512154172,-0.1882353359133922,0.853447307295447,1.823039427462908,-0.6940846030272442,0.3229038756448727,1,0
2105,G965,0,0,0,0,24,2854,35.67,51.43,0.3591811050669926,-0.6906029415863211,0.3859604233784113,-0.5998537387132338,-1.905804439975572,2.112258448553117,-0.7207216676463701,0.3892716161509028,-0.4813719575154977,1.4374486833731903,0.7943950538237766,0.2276848888251061,-1.6254808942121433,-1.30346708493304,-1.4088037829668023,-1.5281419427651075,0.3726820971171922,0.6071251130757639,-1.0360721515283473,-0.5984463752917978,-1.9701529294531743,-1.4774225925701947,1.981934343128782,2.1207802485213016,-0.9197760006412448,1.2518822518537778,0.2918239636202311,-0.1099513511812154,-2.168497033392653,-1.1698836982734446,-0.0979630950034615,1.837203646087452,-1.420887354028603,-1.4763575123428203,-0.734532193877048,-0.0989474300939248,-1.5648366639612428,-0.3138772789819488,-0.7154571029179104,-1.8790318738365457,-1.906514922637719,1.5156718433124072,-0.4055896371444856,-1.0066915309686506,-0.7437603061063307,-0.7336939871401047,-0.9651296872389244,-1.0715499875571293,-1.055219380340657,-1.248235663305692,-0.4256051965920545,-0.8476751937463531,-0.0956021700056611,0.8889108352265855,1.318567287421193,0.0552764627791469,0.4519103797890794,1,0
624,G9506,0,0,0,0,24,1892,36.35,59.61,0.3591811050669926,-0.114715589107779,0.3859604233784113,-0.5475879156785625,-1.602396722102983,2.103156231804247,-0.7404792078095879,0.323509202873294,-0.4817544517693277,1.4261068687391236,0.3085889191485086,0.2276848888251061,-1.860985648634604,-0.8407667675338554,-0.4620752591201768,-1.9393973475181496,-0.5616074608068605,0.6071251130757639,-1.329465795717527,-1.0319464816423165,-1.4519931733727232,-1.6886759504591775,1.981934343128782,1.7926582767693102,-1.1907209985116811,-0.047235728533226,1.804737916644924,-0.1099513511812154,-1.6293040446437357,-1.1698836982734446,-0.7233636354922228,0.9055593807310016,-1.394209916418469,-1.3429150745283007,-0.7732684634130653,0.2778854814435788,-1.5757991423515394,-0.3489751592688673,0.6698402102347687,-1.4798677960540445,-1.6544191230738268,0.9662053287410042,-0.4494389636726906,-1.0939749799728868,-0.8945743183517331,-0.4349426480963426,-0.8305043471709042,-1.0715499875571293,-1.073672674336954,-1.063942629739984,-0.2741693195481645,-0.9848605486206106,-0.1081738139502817,1.2756321636185248,1.832324190776559,-0.4799814960606078,0.0648911749314939,1,0
