Modelo,ROC_AUC,PR_AUC,Brier
XGB_Global,1.0,0.999,0.006
XGB_Baseline,0.998,0.993,0.013
XGB_FIGS_0,1.0,1.0,0.0
XGB_FIGS_1,0.999,0.992,0.006
XGB_FIGS_2,0.998,0.998,0.02
