ACCENUMB,y_true,y_pred,y_proba,modelo,problema
G1475,1,0,0.276,RandomForest,Sequia
G13642,0,0,0.004,RandomForest,Sequia
G5045,1,1,0.936,RandomForest,Sequia
G18628,0,0,0.004,RandomForest,Sequia
G20372,1,1,0.644,RandomForest,Sequia
G52,0,0,0.01,RandomForest,Sequia
G23869I,0,0,0.008,RandomForest,Sequia
G50723B,0,0,0.224,RandomForest,Sequia
G19889,0,0,0.038,RandomForest,Sequia
G19895,0,0,0.02,RandomForest,Sequia
G19122,0,0,0.004,RandomForest,Sequia
G20787,1,1,0.988,RandomForest,Sequia
G1856,0,0,0.054,RandomForest,Sequia
G24573,0,0,0.082,RandomForest,Sequia
G23703,0,0,0.022,RandomForest,Sequia
G24927,0,1,0.936,RandomForest,Sequia
G50775,0,0,0.05,RandomForest,Sequia
G20817,1,1,0.904,RandomForest,Sequia
G23447C,0,0,0.014,RandomForest,Sequia
G50038,0,0,0.036,RandomForest,Sequia
G10961,0,0,0.004,RandomForest,Sequia
G2907,0,0,0.006,RandomForest,Sequia
G18575,0,0,0.016,RandomForest,Sequia
G23458,0,0,0.0,RandomForest,Sequia
G20725,1,1,0.974,RandomForest,Sequia
G2927,0,0,0.008,RandomForest,Sequia
G22047,0,0,0.004,RandomForest,Sequia
G419,1,1,0.85,RandomForest,Sequia
G51435,1,1,0.954,RandomForest,Sequia
G1440,0,0,0.022,RandomForest,Sequia
G52349,0,0,0.038,RandomForest,Sequia
G20418,0,0,0.146,RandomForest,Sequia
G22497,1,1,0.69,RandomForest,Sequia
G7312,1,1,0.726,RandomForest,Sequia
G4754,0,0,0.114,RandomForest,Sequia
G52100,0,0,0.012,RandomForest,Sequia
G1695,0,0,0.0,RandomForest,Sequia
G23968,0,1,0.68,RandomForest,Sequia
G2995,0,0,0.0,RandomForest,Sequia
G7006,0,0,0.004,RandomForest,Sequia
G1716,0,0,0.0,RandomForest,Sequia
G14232,1,1,0.624,RandomForest,Sequia
G4718,0,0,0.052,RandomForest,Sequia
G830,0,0,0.002,RandomForest,Sequia
G10177,0,1,0.598,RandomForest,Sequia
G10133,1,1,0.998,RandomForest,Sequia
G1971,0,0,0.0,RandomForest,Sequia
G1735,0,0,0.0,RandomForest,Sequia
G3384,0,0,0.0,RandomForest,Sequia
